"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAYLLOMA (000)",1656,900,756
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",144,85,59
"Casa pensión (003)",58,34,24
"Hospital, clinica (004)",54,53,1
"Cárcel, centro de readaptación social (005)",26,26,
"Asilo (006)",8,8,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",882,225,657
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",482,467,15
