"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANTA CRUZ (000)",11122,121,3033,3863,2953,1152
"Agric., ganadería, caza y silvicultura (001)",7567,95,2176,2239,2039,1018
"Explotación de minas y canteras (003)",12,,4,5,2,1
"Industrias manufactureras (004)",269,4,79,113,60,13
"Suministro de electricidad, gas y agua (005)",8,,5,2,1,
"Construcción (006)",198,1,71,77,41,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",526,8,121,216,150,31
"Venta, mant.y rep. veh.autom.y motoc. (008)",26,,7,15,4,
"Comercio al por mayor (009)",17,,4,9,4,
"Comercio al por menor (010)",483,8,110,192,142,31
"Hoteles y restaurantes (011)",133,1,34,45,43,10
"Trans., almac. y comunicaciones (012)",202,,90,80,32,
"Activid.inmobil., empres. y alquileres (014)",69,,19,30,19,1
"Admin.pub. y defensa; p. segur.soc.afil (015)",242,,40,125,71,6
"Enseñanza (016)",1026,,85,626,311,4
"Servicios sociales y de salud (017)",118,,37,63,16,2
"Otras activ. serv.comun.soc y personales (018)",119,3,35,50,26,5
"Hogares privados con servicio doméstico (019)",213,9,121,46,31,6
"Actividad economica no especificada (021)",420,,116,146,111,47
"Hombres (022)",8870,98,2451,2956,2380,985
"Agric., ganadería, caza y silvicultura (023)",6896,89,1983,2061,1851,912
"Explotación de minas y canteras (025)",12,,4,5,2,1
"Industrias manufactureras (026)",217,1,70,88,48,10
"Suministro de electricidad, gas y agua (027)",8,,5,2,1,
"Construcción (028)",197,1,70,77,41,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",279,4,57,117,82,19
"Venta, mant.y rep. veh.autom.y motoc. (030)",26,,7,15,4,
"Comercio al por mayor (031)",10,,3,4,3,
"Comercio al por menor (032)",243,4,47,98,75,19
"Hoteles y restaurantes (033)",22,,6,7,8,1
"Trans., almac. y comunicaciones (034)",196,,87,79,30,
"Activid.inmobil., empres. y alquileres (036)",42,,12,18,11,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",202,,29,101,66,6
"Enseñanza (038)",538,,39,310,186,3
"Servicios sociales y de salud (039)",41,,11,22,8,
"Otras activ. serv.comun.soc y personales (040)",67,3,24,21,14,5
"Hogares privados con servicio doméstico (041)",9,,7,1,1,
"Actividad economica no especificada (043)",144,,47,47,31,19
"Mujeres (045)",2252,23,582,907,573,167
"Agric., ganadería, caza y silvicultura (046)",671,6,193,178,188,106
