"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LIMA (000)",7605742,117970,1785129,2193335,1720703,1274285,514320
"Hombres (001)",3713471,60208,909033,1073512,827930,604600,238188
"Mujeres (002)",3892271,57762,876096,1119823,892773,669685,276132
"Viviendas particulares (003)",7531233,116427,1779177,2165199,1701894,1261751,506785
"Hombres (004)",3664741,59330,905421,1053812,814767,596731,234680
"Mujeres (005)",3866492,57097,873756,1111387,887127,665020,272105
"Viviendas colectivas (006)",70997,1538,5786,26930,17573,11760,7410
"Hombres (007)",46149,878,3521,18875,12173,7281,3421
"Mujeres (008)",24848,660,2265,8055,5400,4479,3989
"Otro tipo (009)",3512,5,166,1206,1236,774,125
"Hombres (010)",2581,,91,825,990,588,87
"Mujeres (011)",931,5,75,381,246,186,38
,,,,,,,
"URBANA (012)",7596058,117806,1782396,2190525,1718641,1272935,513755
"Hombres (013)",3708359,60133,907650,1072035,826789,603883,237869
"Mujeres (014)",3887699,57673,874746,1118490,891852,669052,275886
"Viviendas particulares (015)",7521549,116263,1776444,2162389,1699832,1260401,506220
"Hombres (016)",3659629,59255,904038,1052335,813626,596014,234361
"Mujeres (017)",3861920,57008,872406,1110054,886206,664387,271859
"Viviendas colectivas (018)",70997,1538,5786,26930,17573,11760,7410
"Hombres (019)",46149,878,3521,18875,12173,7281,3421
"Mujeres (020)",24848,660,2265,8055,5400,4479,3989
"Otro tipo (021)",3512,5,166,1206,1236,774,125
"Hombres (022)",2581,,91,825,990,588,87
"Mujeres (023)",931,5,75,381,246,186,38
,,,,,,,
"RURAL (024)",9684,164,2733,2810,2062,1350,565
"Hombres (025)",5112,75,1383,1477,1141,717,319
"Mujeres (026)",4572,89,1350,1333,921,633,246
"Viviendas particulares (027)",9684,164,2733,2810,2062,1350,565
"Hombres (028)",5112,75,1383,1477,1141,717,319
"Mujeres (029)",4572,89,1350,1333,921,633,246
