"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LUCANAS (000)",23580,2348,23,7197,8570,997,2500,477,1468
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",69,,,3,17,5,19,3,22
"Profes., científicos e intelectuales (002)",2150,,,,53,84,999,70,944
"Técnicos de nivel medio ytrab.asimilados (003)",508,4,,15,66,76,250,48,49
"Jefes y empleados de oficina (004)",422,,,4,105,45,175,22,71
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",2260,116,2,529,1033,147,277,68,88
"Agricult.trabaj. calif.agrop. y pesquros (006)",7155,1135,4,3298,2285,135,164,62,72
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",2415,61,3,529,1412,132,149,67,62
"Obreros. construc., conf., papel, fab., instr (008)",932,15,,141,495,94,122,27,38
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",6869,914,14,2435,2827,245,262,87,85
"Otra (010)",59,,,,5,2,32,9,11
"Ocupación no especificada (011)",741,103,,243,272,32,51,14,26
"Hombres (012)",16090,966,13,5162,6532,708,1413,366,930
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",52,,,2,14,3,13,3,17
"Profes., científicos e intelectuales (014)",1108,,,,11,40,466,37,554
"Técnicos de nivel medio ytrab.asimilados (015)",342,3,,12,51,64,140,37,35
"Jefes y empleados de oficina (016)",258,,,3,88,28,73,14,52
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",804,11,,171,415,47,94,32,34
"Agricult.trabaj. calif.agrop. y pesquros (018)",5769,598,3,2787,2000,123,139,57,62
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",2185,43,2,463,1299,120,139,64,55
"Obreros. construc., conf., papel, fab., instr (020)",915,15,,136,488,92,120,26,38
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",4210,268,8,1462,1997,168,174,75,58
"Otra (022)",59,,,,5,2,32,9,11
"Ocupación no especificada (023)",388,28,,126,164,21,23,12,14
"Mujeres (024)",7490,1382,10,2035,2038,289,1087,111,538
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",17,,,1,3,2,6,,5
"Profes., científicos e intelectuales (026)",1042,,,,42,44,533,33,390
"Técnicos de nivel medio ytrab.asimilados (027)",166,1,,3,15,12,110,11,14
"Jefes y empleados de oficina (028)",164,,,1,17,17,102,8,19
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1456,105,2,358,618,100,183,36,54
"Agricult.trabaj. calif.agrop. y pesquros (030)",1386,537,1,511,285,12,25,5,10
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",230,18,1,66,113,12,10,3,7
"Obreros. construc., conf., papel, fab., instr (032)",17,,,5,7,2,2,1,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",2659,646,6,973,830,77,88,12,27
"Ocupación no especificada (035)",353,75,,117,108,11,28,2,12
,,,,,,,,,
"URBANA (036)",13922,1185,17,3491,4955,724,2020,329,1201
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",64,,,1,16,5,18,3,21
