"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUYA (000)",15711,1449,1963,8401,666,2732,500
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",65,64,,,1,,
"Profes., científicos e intelectuales (002)",920,861,,52,1,6,
"Técnicos de nivel medio y trab. asimilados (003)",172,141,,24,5,2,
"Jefes y empleados de oficina (004)",153,153,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",726,42,7,552,17,108,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7525,4,,6914,601,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",426,,119,269,13,25,
"Obreros construc.,conf.,papel, fab., instr. (008)",396,19,168,170,22,17,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4737,84,1624,115,,2414,500
"Otra (010)",41,41,,,,,
"Ocupación no especificada (011)",550,40,45,305,6,154,
"Hombres (012)",12650,753,1693,7392,625,2168,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",49,49,,,,,
"Profes., científicos e intelectuales (014)",476,443,,27,1,5,
"Técnicos de nivel medio y trab. asimilados (015)",90,66,,21,2,1,
"Jefes y empleados de oficina (016)",71,71,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",256,13,1,213,9,20,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7293,4,,6705,578,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",244,,73,153,11,7,
"Obreros construc.,conf.,papel, fab., instr. (020)",379,19,161,163,22,14,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3652,41,1442,51,,2099,19
"Otra (022)",41,41,,,,,
"Ocupación no especificada (023)",99,6,16,59,2,16,
"Mujeres (024)",3061,696,270,1009,41,564,481
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",16,15,,,1,,
"Profes., científicos e intelectuales (026)",444,418,,25,,1,
"Técnicos de nivel medio y trab. asimilados (027)",82,75,,3,3,1,
"Jefes y empleados de oficina (028)",82,82,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",470,29,6,339,8,88,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",232,,,209,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",182,,46,116,2,18,
"Obreros construc.,conf.,papel, fab., instr. (032)",17,,7,7,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1085,43,182,64,,315,481
"Ocupación no especificada (035)",451,34,29,246,4,138,
,,,,,,,
"URBANA (036)",6785,1045,896,3438,286,861,259
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",58,57,,,1,,
"Profes., científicos e intelectuales (038)",594,557,,30,1,6,
"Técnicos de nivel medio y trab. asimilados (039)",133,106,,20,5,2,
"Jefes y empleados de oficina (040)",138,138,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",554,35,5,422,11,81,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",2744,,,2504,240,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",257,,80,153,10,14,
"Obreros construc.,conf.,papel, fab., instr. (044)",266,18,99,126,14,9,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1791,70,691,83,,688,259
"Otra (046)",41,41,,,,,
"Ocupación no especificada (047)",209,23,21,100,4,61,
"Hombres (048)",4974,535,762,2842,262,565,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",45,45,,,,,
"Profes., científicos e intelectuales (050)",294,274,,14,1,5,
"Técnicos de nivel medio y trab. asimilados (051)",69,49,,17,2,1,
"Jefes y empleados de oficina (052)",62,62,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",185,12,1,149,6,17,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",2628,,,2398,230,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",151,,48,92,8,3,
"Obreros construc.,conf.,papel, fab., instr. (056)",262,18,99,123,14,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1193,31,602,31,,521,8
"Otra (058)",41,41,,,,,
"Ocupación no especificada (059)",44,3,12,18,1,10,
"Mujeres (060)",1811,510,134,596,24,296,251
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",13,12,,,1,,
"Profes., científicos e intelectuales (062)",300,283,,16,,1,
"Técnicos de nivel medio y trab. asimilados (063)",64,57,,3,3,1,
"Jefes y empleados de oficina (064)",76,76,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",369,23,4,273,5,64,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",116,,,106,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",106,,32,61,2,11,
"Obreros construc.,conf.,papel, fab., instr. (068)",4,,,3,,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",598,39,89,52,,167,251
"Ocupación no especificada (071)",165,20,9,82,3,51,
,,,,,,,
"RURAL (072)",8926,404,1067,4963,380,1871,241
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",7,7,,,,,
"Profes., científicos e intelectuales (074)",326,304,,22,,,
"Técnicos de nivel medio y trab. asimilados (075)",39,35,,4,,,
"Jefes y empleados de oficina (076)",15,15,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",172,7,2,130,6,27,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",4781,4,,4410,361,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",169,,39,116,3,11,
"Obreros construc.,conf.,papel, fab., instr. (080)",130,1,69,44,8,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",2946,14,933,32,,1726,241
"Ocupación no especificada (083)",341,17,24,205,2,93,
"Hombres (084)",7676,218,931,4550,363,1603,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",4,4,,,,,
"Profes., científicos e intelectuales (086)",182,169,,13,,,
"Técnicos de nivel medio y trab. asimilados (087)",21,17,,4,,,
"Jefes y empleados de oficina (088)",9,9,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",71,1,,64,3,3,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",4665,4,,4307,348,6,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",93,,25,61,3,4,
"Obreros construc.,conf.,papel, fab., instr. (092)",117,1,62,40,8,6,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2459,10,840,20,,1578,11
"Ocupación no especificada (095)",55,3,4,41,1,6,
"Mujeres (096)",1250,186,136,413,17,268,230
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
"Profes., científicos e intelectuales (098)",144,135,,9,,,
"Técnicos de nivel medio y trab. asimilados (099)",18,18,,,,,
"Jefes y empleados de oficina (100)",6,6,,,,,
