"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia MARISCAL NIETO (000)",72849,72446,210,193
"Hombres (001)",37266,37086,86,94
"Mujeres (002)",35583,35360,124,99
"Menores de 1 año (003)",1070,958,73,39
"Hombres (004)",527,470,36,21
"Mujeres (005)",543,488,37,18
"De 1 a 5 años (006)",5908,5706,65,137
"Hombres (007)",3111,3005,35,71
"Mujeres (008)",2797,2701,30,66
"De 6 a 14 años (009)",10952,10938,2,12
"Hombres (010)",5599,5596,2,1
"Mujeres (011)",5353,5342,,11
"De 15 a 29 años (012)",20035,20033,1,1
"Hombres (013)",10049,10047,1,1
"Mujeres (014)",9986,9986,,
"De 30 a 44 años (015)",17240,17238,1,1
"Hombres (016)",8731,8731,,
"Mujeres (017)",8509,8507,1,1
"De 45 a 64 años (018)",12444,12432,12,
"Hombres (019)",6519,6514,5,
"Mujeres (020)",5925,5918,7,
"De 65 a más años (021)",5200,5141,56,3
"Hombres (022)",2730,2723,7,
"Mujeres (023)",2470,2418,49,3
,,,,
"URBANA (024)",62797,62439,184,174
"Hombres (025)",31575,31410,81,84
"Mujeres (026)",31222,31029,103,90
"Menores de 1 año (027)",958,858,61,39
"Hombres (028)",474,420,33,21
"Mujeres (029)",484,438,28,18
"De 1 a 5 años (030)",5198,5014,64,120
"Hombres (031)",2726,2630,35,61
"Mujeres (032)",2472,2384,29,59
"De 6 a 14 años (033)",9650,9638,2,10
"Hombres (034)",4902,4899,2,1
"Mujeres (035)",4748,4739,,9
"De 15 a 29 años (036)",17540,17538,1,1
"Hombres (037)",8611,8609,1,1
"Mujeres (038)",8929,8929,,
"De 30 a 44 años (039)",14881,14879,1,1
"Hombres (040)",7328,7328,,
"Mujeres (041)",7553,7551,1,1
"De 45 a 64 años (042)",10445,10435,10,
"Hombres (043)",5379,5375,4,
"Mujeres (044)",5066,5060,6,
"De 65 a más años (045)",4125,4077,45,3
"Hombres (046)",2155,2149,6,
"Mujeres (047)",1970,1928,39,3
,,,,
"RURAL (048)",10052,10007,26,19
"Hombres (049)",5691,5676,5,10
"Mujeres (050)",4361,4331,21,9
"Menores de 1 año (051)",112,100,12,
"Hombres (052)",53,50,3,
"Mujeres (053)",59,50,9,
"De 1 a 5 años (054)",710,692,1,17
"Hombres (055)",385,375,,10
"Mujeres (056)",325,317,1,7
"De 6 a 14 años (057)",1302,1300,,2
"Hombres (058)",697,697,,
"Mujeres (059)",605,603,,2
"De 15 a 29 años (060)",2495,2495,,
"Hombres (061)",1438,1438,,
"Mujeres (062)",1057,1057,,
"De 30 a 44 años (063)",2359,2359,,
"Hombres (064)",1403,1403,,
"Mujeres (065)",956,956,,
"De 45 a 64 años (066)",1999,1997,2,
"Hombres (067)",1140,1139,1,
"Mujeres (068)",859,858,1,
"De 65 a más años (069)",1075,1064,11,
"Hombres (070)",575,574,1,
"Mujeres (071)",500,490,10,
