"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ALTO AMAZONAS (000)",103588,61796,41792
"Casa independiente (001)",74026,59974,14052
"Departamento en edificio (002)",71,71,
"Vivienda en quinta (003)",936,936,
"Vivienda en casa de vecindad (004)",260,260,
"Choza o cabaña (005)",27721,,27721
"Vivienda improvisada (006)",467,467,
"Local no dest.para hab. humana (007)",90,71,19
"Otro tipo (008)",17,17,
