"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONDESUYOS (000)",17146,7555,9591
"Casa independiente (001)",13482,7350,6132
"Vivienda en quinta (003)",38,38,
"Vivienda en casa de vecindad (004)",127,127,
"Choza o cabaña (005)",3440,,3440
"Vivienda improvisada (006)",30,30,
"Local no dest.para hab. humana (007)",26,10,16
"Otro tipo (008)",3,,3
