"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",23600,11504,12096,7480,3663,3817,16120,7841,8279
"Menores de 1 año (001)",363,190,173,94,44,50,269,146,123
"Menores de 1 mes (002)",26,10,16,12,4,8,14,6,8
"De 1 a 11 meses (003)",337,180,157,82,40,42,255,140,115
"De 1 a 4 años (004)",2233,1131,1102,616,310,306,1617,821,796
"1 año (005)",456,239,217,115,48,67,341,191,150
"2 años (006)",593,299,294,171,92,79,422,207,215
"3 años (007)",630,302,328,170,89,81,460,213,247
"4 años (008)",554,291,263,160,81,79,394,210,184
"De 5 a 9 años (009)",2714,1357,1357,756,376,380,1958,981,977
"5 años (010)",502,253,249,143,66,77,359,187,172
"6 años (011)",533,292,241,172,93,79,361,199,162
"7 años (012)",568,274,294,149,71,78,419,203,216
"8 años (013)",546,258,288,138,71,67,408,187,221
"9 años (014)",565,280,285,154,75,79,411,205,206
"De 10 a 14 años (015)",3071,1546,1525,930,444,486,2141,1102,1039
"10 años (016)",645,327,318,195,95,100,450,232,218
"11 años (017)",543,276,267,154,71,83,389,205,184
"12 años (018)",693,346,347,210,101,109,483,245,238
"13 años (019)",611,297,314,180,86,94,431,211,220
"14 años (020)",579,300,279,191,91,100,388,209,179
"De 15 a 19 años (021)",2056,1085,971,709,365,344,1347,720,627
"15 años (022)",530,294,236,180,93,87,350,201,149
"16 años (023)",399,201,198,146,79,67,253,122,131
"17 años (024)",406,214,192,136,71,65,270,143,127
"18 años (025)",415,221,194,134,68,66,281,153,128
"19 años (026)",306,155,151,113,54,59,193,101,92
"De 20 a 24 años (027)",1441,724,717,459,231,228,982,493,489
"20 años (028)",297,155,142,102,57,45,195,98,97
"21 años (029)",228,125,103,75,45,30,153,80,73
"22 años (030)",302,142,160,85,42,43,217,100,117
"23 años (031)",306,147,159,94,44,50,212,103,109
"24 años (032)",308,155,153,103,43,60,205,112,93
"De 25 a 29 años (033)",1408,686,722,483,235,248,925,451,474
"25 años (034)",309,167,142,104,58,46,205,109,96
"26 años (035)",268,121,147,84,38,46,184,83,101
"27 años (036)",292,144,148,102,46,56,190,98,92
"28 años (037)",290,146,144,102,48,54,188,98,90
"29 años (038)",249,108,141,91,45,46,158,63,95
"De 30 a 34 años (039)",1391,699,692,467,240,227,924,459,465
"30 años (040)",345,167,178,128,59,69,217,108,109
"31 años (041)",207,113,94,74,43,31,133,70,63
"32 años (042)",296,147,149,96,51,45,200,96,104
"33 años (043)",276,141,135,87,45,42,189,96,93
"34 años (044)",267,131,136,82,42,40,185,89,96
"De 35 a 39 años (045)",1379,699,680,521,257,264,858,442,416
"35 años (046)",304,160,144,125,63,62,179,97,82
