"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia ACOMAYO (000)",15349,8294,77,171,6360,172,3,13,2,257
"Hombres (001)",6134,4344,52,73,1432,82,3,4,2,142
"Mujeres (002)",9215,3950,25,98,4928,90,,9,,115
"De 06 a 14 años (003)",6727,6501,,,115,56,,3,,52
"Hombres (004)",3422,3320,,,56,25,,,,21
"Mujeres (005)",3305,3181,,,59,31,,3,,31
"De 15 a 29 años (006)",3327,1754,3,39,1460,,,1,2,68
"Hombres (007)",1407,1007,3,19,334,,,,2,42
"Mujeres (008)",1920,747,,20,1126,,,1,,26
"De 30 a 44 años (009)",2031,25,2,41,1915,,,3,,45
"Hombres (010)",451,14,1,16,390,,,1,,29
"Mujeres (011)",1580,11,1,25,1525,,,2,,16
"De 45 a 64 años (012)",1743,12,28,47,1608,4,2,2,,40
"Hombres (013)",406,3,18,19,339,2,2,1,,22
"Mujeres (014)",1337,9,10,28,1269,2,,1,,18
"De 65 y más años (015)",1521,2,44,44,1262,112,1,4,,52
"Hombres (016)",448,,30,19,313,55,1,2,,28
"Mujeres (017)",1073,2,14,25,949,57,,2,,24
,,,,,,,,,,
"AREA URBANA (018)",7780,4321,65,122,3064,96,1,4,,107
"Hombres (019)",3135,2266,46,49,673,45,1,,,55
"Mujeres (020)",4645,2055,19,73,2391,51,,4,,52
"De 06 a 14 años (021)",3437,3313,,,71,26,,2,,25
"Hombres (022)",1760,1701,,,37,11,,,,11
"Mujeres (023)",1677,1612,,,34,15,,2,,14
"De 15 a 29 años (024)",1667,980,3,24,634,,,,,26
"Hombres (025)",714,550,3,13,134,,,,,14
"Mujeres (026)",953,430,,11,500,,,,,12
"De 30 a 44 años (027)",968,18,2,29,902,,,,,17
"Hombres (028)",215,12,1,10,182,,,,,10
"Mujeres (029)",753,6,1,19,720,,,,,7
"De 45 a 64 años (030)",844,9,22,32,760,1,1,1,,18
"Hombres (031)",189,3,14,12,150,1,1,,,8
"Mujeres (032)",655,6,8,20,610,,,1,,10
"De 65 y más años (033)",864,1,38,37,697,69,,1,,21
"Hombres (034)",257,,28,14,170,33,,,,12
"Mujeres (035)",607,1,10,23,527,36,,1,,9
,,,,,,,,,,
"AREA RURAL (036)",7569,3973,12,49,3296,76,2,9,2,150
"Hombres (037)",2999,2078,6,24,759,37,2,4,2,87
"Mujeres (038)",4570,1895,6,25,2537,39,,5,,63
"De 06 a 14 años (039)",3290,3188,,,44,30,,1,,27
"Hombres (040)",1662,1619,,,19,14,,,,10
"Mujeres (041)",1628,1569,,,25,16,,1,,17
"De 15 a 29 años (042)",1660,774,,15,826,,,1,2,42
"Hombres (043)",693,457,,6,200,,,,2,28
"Mujeres (044)",967,317,,9,626,,,1,,14
"De 30 a 44 años (045)",1063,7,,12,1013,,,3,,28
"Hombres (046)",236,2,,6,208,,,1,,19
"Mujeres (047)",827,5,,6,805,,,2,,9
"De 45 a 64 años (048)",899,3,6,15,848,3,1,1,,22
"Hombres (049)",217,,4,7,189,1,1,1,,14
"Mujeres (050)",682,3,2,8,659,2,,,,8
"De 65 y más años (051)",657,1,6,7,565,43,1,3,,31
"Hombres (052)",191,,2,5,143,22,1,2,,16
"Mujeres (053)",466,1,4,2,422,21,,1,,15
