"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MANU (000)",6134,12446,11389,,445,91.5,3.6
"De 12 a 14 años (001)",477,3,3,,1,100,33.3
"De 15 a 19 años (002)",964,262,249,74,95,28.2,
"De 20 a 24 años (003)",1241,1218,1179,128,96.8,10.5,
"De 25 a 29 años (004)",922,1582,1531,116,96.8,7.3,
"De 30 a 34 años (005)",751,1935,1838,66,95,3.4,
"De 35 a 39 años (006)",603,2050,1906,40,93,2,
"De 40 a 44 años (007)",437,1816,1651,16,90.9,0.9,
"De 45 a 49 años (008)",294,1372,1214,4,88.5,0.3,
"De 50 y más años (009)",445,2208,1818,,82.3,,
"Conviviente (010)",3349,7917,7355,391,92.9,4.9,
"De 12 a 14 años (011)",7,2,2,,100,,
"De 15 a 19 años (012)",320,213,201,67,94.4,31.5,
"De 20 a 24 años (013)",866,1033,1000,114,96.8,11,
"De 25 a 29 años (014)",700,1351,1305,104,96.6,7.7,
"De 30 a 34 años (015)",527,1460,1382,57,94.7,3.9,
"De 35 a 39 años (016)",398,1461,1355,34,92.7,2.3,
"De 40 a 44 años (017)",242,1043,954,11,91.5,1.1,
"De 45 a 49 años (018)",148,684,601,4,87.9,0.6,
"De 50 y más años (019)",141,670,555,,82.8,,
"Separado(a) (020)",246,650,595,11,91.5,1.7,
"De 15 a 19 años (022)",22,23,23,3,100,13,
"De 20 a 24 años (023)",57,72,68,3,94.4,4.2,
"De 25 a 29 años (024)",32,54,54,2,100,3.7,
"De 30 a 34 años (025)",38,95,91,2,95.8,2.1,
"De 35 a 39 años (026)",31,95,88,,92.6,,
"De 40 a 44 años (027)",26,93,87,1,93.5,1.1,
"De 45 a 49 años (028)",20,90,85,,94.4,,
"De 50 y más años (029)",20,128,99,,77.3,,
"Casado(a) (030)",782,2953,2661,29,90.1,1,
"De 15 a 19 años (032)",5,3,3,1,100,33.3,
"De 20 a 24 años (033)",31,47,45,4,95.7,8.5,
"De 25 a 29 años (034)",69,125,123,8,98.4,6.4,
"De 30 a 34 años (035)",127,318,305,7,95.9,2.2,
"De 35 a 39 años (036)",129,430,408,6,94.9,1.4,
"De 40 a 44 años (037)",138,571,514,3,90,0.5,
"De 45 a 49 años (038)",105,517,458,,88.6,,
"De 50 y más años (039)",178,942,805,,85.5,,
