"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TACNA (000)",121305,827,40596,47701,28205,3976
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",293,,21,109,151,12
"Profes., científicos e intelectuales (002)",13276,,2864,6968,3287,157
"Técnicos de nivel medio y trab.asimilados (003)",6721,4,2371,2790,1413,143
"Jefes y empleados de oficina (004)",6336,,2415,2515,1362,44
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",25236,82,8558,10043,5800,753
"Agricult.trabaj. calif. agrop. y pesqueros (006)",5972,2,1111,1870,2106,883
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",9958,57,4134,3671,1808,288
"Obreros construc., conf., papel, fab., instr. (008)",13507,11,3412,5930,3778,376
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",28125,613,10584,9682,6190,1056
"Otra (010)",1473,,314,671,488,
"Ocupación no especificada (011)",2732,11,968,1034,618,101
"Desocupado (012)",7676,47,3844,2418,1204,163
"Hombres (013)",69628,488,22656,26826,17015,2643
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",198,,12,71,107,8
"Profes., científicos e intelectuales (015)",6203,,1153,3073,1859,118
"Técnicos de nivel medio y trab.asimilados (016)",4163,3,1406,1728,920,106
"Jefes y empleados de oficina (017)",2928,,960,1182,754,32
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",9739,36,3466,3774,2138,325
"Agricult.trabaj. calif. agrop. y pesqueros (019)",4399,1,814,1336,1562,686
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",8370,55,3569,2988,1499,259
"Obreros construc., conf., papel, fab., instr. (021)",13081,11,3272,5759,3678,361
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",13111,348,5096,4292,2805,570
"Otra (023)",1358,,239,642,477,
"Ocupación no especificada (024)",1428,7,507,507,354,53
"Desocupado (025)",4650,27,2162,1474,862,125
"Mujeres (026)",51677,339,17940,20875,11190,1333
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",95,,9,38,44,4
"Profes., científicos e intelectuales (028)",7073,,1711,3895,1428,39
"Técnicos de nivel medio y trab.asimilados (029)",2558,1,965,1062,493,37
"Jefes y empleados de oficina (030)",3408,,1455,1333,608,12
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",15497,46,5092,6269,3662,428
