"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia RECUAY (000)",7598,22859,20288,,290,88.8,1.3
"De 12 a 14 años (001)",561,1,1,,,100,
"De 15 a 19 años (002)",860,94,88,32,93.6,34,
"De 20 a 24 años (003)",747,513,498,64,97.1,12.5,
"De 25 a 29 años (004)",740,954,929,69,97.4,7.2,
"De 30 a 34 años (005)",578,1250,1203,59,96.2,4.7,
"De 35 a 39 años (006)",609,1754,1675,41,95.5,2.3,
"De 40 a 44 años (007)",560,2088,1979,23,94.8,1.1,
"De 45 a 49 años (008)",484,2140,1992,2,93.1,0.1,
"De 50 y más años (009)",2459,14065,11923,,84.8,,
"Conviviente (010)",1887,5956,5533,195,92.9,3.3,
"De 12 a 14 años (011)",5,1,1,,100,,
"De 15 a 19 años (012)",87,61,56,23,91.8,37.7,
"De 20 a 24 años (013)",268,341,327,47,95.9,13.8,
"De 25 a 29 años (014)",346,658,636,48,96.7,7.3,
"De 30 a 34 años (015)",250,715,691,39,96.6,5.5,
"De 35 a 39 años (016)",264,897,856,26,95.4,2.9,
"De 40 a 44 años (017)",215,905,855,11,94.5,1.2,
"De 45 a 49 años (018)",128,555,519,1,93.5,0.2,
"De 50 y más años (019)",324,1823,1592,,87.3,,
"Separado(a) (020)",439,1293,1178,18,91.1,1.4,
"De 15 a 19 años (022)",10,10,9,1,90,10,
"De 20 a 24 años (023)",48,63,63,8,100,12.7,
"De 25 a 29 años (024)",55,81,80,4,98.8,4.9,
"De 30 a 34 años (025)",54,90,88,2,97.8,2.2,
"De 35 a 39 años (026)",54,144,139,3,96.5,2.1,
"De 40 a 44 años (027)",30,86,83,,96.5,,
"De 45 a 49 años (028)",40,129,123,,95.3,,
"De 50 y más años (029)",148,690,593,,85.9,,
"Casado(a) (030)",1981,10307,9171,52,89,0.5,
"De 15 a 19 años (032)",6,6,6,,100,,
"De 20 a 24 años (033)",29,33,33,4,100,12.1,
"De 25 a 29 años (034)",61,114,113,13,99.1,11.4,
"De 30 a 34 años (035)",116,319,308,13,96.6,4.1,
"De 35 a 39 años (036)",184,601,571,12,95,2,
"De 40 a 44 años (037)",215,915,872,9,95.3,1,
"De 45 a 49 años (038)",240,1278,1182,1,92.5,0.1,
"De 50 y más años (039)",1130,7041,6086,,86.4,,
"Viudo(a) (040)",788,4596,3727,2,81.1,,
