"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia ICA",,,,
"Viviendas particulares (001)",62022,51042,8094,2886
"Ocupantes presentes (002)",272726,227828,33751,11147
"Casa independiente",,,,
"Viviendas particulares (004)",55161,46191,6702,2268
"Ocupantes presentes (005)",246504,209042,28686,8776
"Departamento en edificio",,,,
"Viviendas particulares (007)",1480,1303,177,
"Ocupantes presentes (008)",4942,4447,495,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",1018,793,225,
"Ocupantes presentes (011)",3448,2765,683,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",428,275,127,26
"Ocupantes presentes (014)",1490,1010,376,104
"Choza o cabaña",,,,
"Viviendas particulares (016)",63,,,63
"Ocupantes presentes (017)",251,,,251
"Vivienda improvisada",,,,
"Viviendas particulares (019)",3753,2386,851,516
"Ocupantes presentes (020)",15740,10294,3472,1974
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",109,94,12,3
"Ocupantes presentes (023)",321,270,39,12
"Otro tipo",,,,
"Viviendas particulares (025)",10,,,10
"Ocupantes presentes (026)",30,,,30
Si,,,,
"Viviendas particulares (028)",49478,42900,4393,2185
"Ocupantes presentes (029)",219765,192874,18457,8434
"Casa independiente",,,,
"Viviendas particulares (031)",44229,39077,3438,1714
"Ocupantes presentes (032)",200102,178395,15084,6623
"Departamento en edificio",,,,
"Viviendas particulares (034)",1446,1276,170,
"Ocupantes presentes (035)",4816,4343,473,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",979,771,208,
"Ocupantes presentes (038)",3322,2691,631,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",360,237,103,20
"Ocupantes presentes (041)",1231,840,310,81
"Choza o cabaña",,,,
"Viviendas particulares (043)",21,,,21
"Ocupantes presentes (044)",84,,,84
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2341,1458,465,418
"Ocupantes presentes (047)",9918,6381,1928,1609
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",92,81,9,2
"Ocupantes presentes (050)",262,224,31,7
"Otro tipo",,,,
"Viviendas particulares (052)",10,,,10
"Ocupantes presentes (053)",30,,,30
No,,,,
"Viviendas particulares (055)",12544,8142,3701,701
"Ocupantes presentes (056)",52961,34954,15294,2713
"Casa independiente",,,,
"Viviendas particulares (058)",10932,7114,3264,554
"Ocupantes presentes (059)",46402,30647,13602,2153
"Departamento en edificio",,,,
"Viviendas particulares (061)",34,27,7,
"Ocupantes presentes (062)",126,104,22,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",39,22,17,
"Ocupantes presentes (065)",126,74,52,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",68,38,24,6
"Ocupantes presentes (068)",259,170,66,23
"Choza o cabaña",,,,
"Viviendas particulares (070)",42,,,42
"Ocupantes presentes (071)",167,,,167
"Vivienda improvisada",,,,
"Viviendas particulares (073)",1412,928,386,98
"Ocupantes presentes (074)",5822,3913,1544,365
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",17,13,3,1
"Ocupantes presentes (077)",59,46,8,5
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",59115,49469,7044,2602
"Ocupantes presentes (110)",260777,221415,29303,10059
"Casa independiente",,,,
"Viviendas particulares (112)",52321,44620,5652,2049
"Ocupantes presentes (113)",234825,202637,24238,7950
"Departamento en edificio",,,,
"Viviendas particulares (115)",1480,1303,177,
"Ocupantes presentes (116)",4942,4447,495,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",1018,793,225,
"Ocupantes presentes (119)",3448,2765,683,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",428,275,127,26
"Ocupantes presentes (122)",1490,1010,376,104
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",3753,2386,851,516
"Ocupantes presentes (128)",15740,10294,3472,1974
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",107,92,12,3
"Ocupantes presentes (131)",313,262,39,12
"Otro tipo",,,,
"Viviendas particulares (133)",8,,,8
"Ocupantes presentes (134)",19,,,19
Si,,,,
"Viviendas particulares (136)",48922,42535,4275,2112
"Ocupantes presentes (137)",217573,191426,17991,8156
"Casa independiente",,,,
"Viviendas particulares (139)",43696,38712,3320,1664
"Ocupantes presentes (140)",198005,176947,14618,6440
"Departamento en edificio",,,,
"Viviendas particulares (142)",1446,1276,170,
"Ocupantes presentes (143)",4816,4343,473,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",979,771,208,
"Ocupantes presentes (146)",3322,2691,631,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",360,237,103,20
"Ocupantes presentes (149)",1231,840,310,81
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2341,1458,465,418
"Ocupantes presentes (155)",9918,6381,1928,1609
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",92,81,9,2
"Ocupantes presentes (158)",262,224,31,7
"Otro tipo",,,,
"Viviendas particulares (160)",8,,,8
"Ocupantes presentes (161)",19,,,19
No,,,,
"Viviendas particulares (163)",10193,6934,2769,490
"Ocupantes presentes (164)",43204,29989,11312,1903
"Casa independiente",,,,
"Viviendas particulares (166)",8625,5908,2332,385
"Ocupantes presentes (167)",36820,25690,9620,1510
"Departamento en edificio",,,,
"Viviendas particulares (169)",34,27,7,
"Ocupantes presentes (170)",126,104,22,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",39,22,17,
"Ocupantes presentes (173)",126,74,52,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",68,38,24,6
"Ocupantes presentes (176)",259,170,66,23
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",1412,928,386,98
"Ocupantes presentes (182)",5822,3913,1544,365
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",15,11,3,1
"Ocupantes presentes (185)",51,38,8,5
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2907,1573,1050,284
"Ocupantes presentes (218)",11949,6413,4448,1088
"Casa independiente",,,,
"Viviendas particulares (220)",2840,1571,1050,219
"Ocupantes presentes (221)",11679,6405,4448,826
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",63,,,63
"Ocupantes presentes (233)",251,,,251
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",2,2,,
"Ocupantes presentes (239)",8,8,,
"Otro tipo",,,,
"Viviendas particulares (241)",2,,,2
"Ocupantes presentes (242)",11,,,11
Si,,,,
"Viviendas particulares (244)",556,365,118,73
"Ocupantes presentes (245)",2192,1448,466,278
"Casa independiente",,,,
"Viviendas particulares (247)",533,365,118,50
"Ocupantes presentes (248)",2097,1448,466,183
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",21,,,21
"Ocupantes presentes (260)",84,,,84
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"Viviendas particulares (268)",2,,,2
"Ocupantes presentes (269)",11,,,11
No,,,,
"Viviendas particulares (271)",2351,1208,932,211
"Ocupantes presentes (272)",9757,4965,3982,810
"Casa independiente",,,,
"Viviendas particulares (274)",2307,1206,932,169
"Ocupantes presentes (275)",9582,4957,3982,643
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",42,,,42
"Ocupantes presentes (287)",167,,,167
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (292)",2,2,,
"Ocupantes presentes (293)",8,8,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
