"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia REQUENA (000)",64780,36704,28076
"Casa independiente (001)",54479,36073,18406
"Departamento en edificio (002)",13,13,
"Vivienda en quinta (003)",291,291,
"Vivienda en casa de vecindad (004)",25,25,
"Choza o cabaña (005)",9614,,9614
"Vivienda improvisada (006)",252,252,
"Local no dest.para hab. humana (007)",52,40,12
"Otro tipo (008)",54,10,44
