"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
"URBANA (060)",15840,13050,1310,695,785
"Sin nivel (061)",886,829,51,6,
"Educación inicial (062)",25,24,1,,
"Primaria (063)",7854,7134,565,85,70
"Secundaria (064)",5008,4169,436,169,234
"Superior no univ. incompleta (065)",423,270,40,39,74
"Superior no univ. completa (066)",858,318,115,216,209
"Superior univ. incompleta (067)",211,105,19,39,48
"Superior univ. completa (068)",575,201,83,141,150
"De 06 a 14 años (070)",468,432,33,3,
"Sin nivel (071)",16,16,,,
"Educación inicial (072)",8,7,1,,
"Primaria (073)",346,325,20,1,
"Secundaria (074)",98,84,12,2,
"De 15 a 29 años (080)",5062,4147,503,172,240
"Sin nivel (081)",94,84,10,,
"Educación inicial (082)",7,7,,,
"Primaria (083)",1962,1736,183,27,16
"Secundaria (084)",2382,2000,233,75,74
"Superior no univ. incompleta (085)",202,139,19,8,36
"Superior no univ. completa (086)",229,99,32,35,63
"Superior univ. incompleta (087)",64,37,6,8,13
"Superior univ. completa (088)",122,45,20,19,38
"De 30 a 44 años (090)",5355,4200,447,366,342
"Sin nivel (091)",198,180,16,2,
"Educación inicial (092)",10,10,,,
"Primaria (093)",2546,2299,176,41,30
"Secundaria (094)",1644,1365,126,58,95
"Superior no univ. incompleta (095)",149,85,14,24,26
"Superior no univ. completa (096)",432,133,63,135,101
"Superior univ. incompleta (097)",93,39,11,23,20
"Superior univ. completa (098)",283,89,41,83,70
"De 45 a 64 años (100)",3918,3289,287,151,191
"Sin nivel (101)",401,377,21,3,
"Primaria (103)",2242,2051,156,15,20
"Secundaria (104)",815,660,60,33,62
"Superior no univ. incompleta (105)",66,43,7,7,9
"Superior no univ. completa (106)",188,77,20,46,45
"Superior univ. incompleta (107)",51,27,2,8,14
"Superior univ. completa (108)",155,54,21,39,41
"De 65 y más años (110)",1037,982,40,3,12
"Sin nivel (111)",177,172,4,1,
"Primaria (113)",758,723,30,1,4
"Secundaria (114)",69,60,5,1,3
"Superior no univ. incompleta (115)",6,3,,,3
"Superior no univ. completa (116)",9,9,,,
"Superior univ. incompleta (117)",3,2,,,1
"Superior univ. completa (118)",15,13,1,,1
,,,,,
"RURAL (120)",16826,15616,1031,144,35
"Sin nivel (121)",1867,1732,123,12,
"Educación inicial (122)",37,35,1,1,
"Primaria (123)",11785,10976,707,93,9
"Secundaria (124)",2865,2675,161,15,14
"Superior no univ. incompleta (125)",76,64,3,6,3
"Superior no univ. completa (126)",114,69,22,16,7
"Superior univ. incompleta (127)",27,25,1,,1
"Superior univ. completa (128)",55,40,13,1,1
"De 06 a 14 años (130)",1010,941,62,7,
"Sin nivel (131)",82,72,9,1,
"Educación inicial (132)",16,16,,,
"Primaria (133)",831,773,52,6,
"Secundaria (134)",81,80,1,,
"De 15 a 29 años (140)",6838,6318,447,61,12
"Sin nivel (141)",298,272,23,3,
"Educación inicial (142)",14,13,,1,
"Primaria (143)",4708,4352,313,41,2
"Secundaria (144)",1706,1590,103,9,4
"Superior no univ. incompleta (145)",41,35,2,2,2
"Superior no univ. completa (146)",41,30,3,5,3
"Superior univ. incompleta (147)",14,12,1,,1
"Superior univ. completa (148)",16,14,2,,
"De 30 a 44 años (150)",4966,4593,293,61,19
"Sin nivel (151)",461,423,34,4,
"Educación inicial (152)",7,6,1,,
"Primaria (153)",3607,3364,200,38,5
"Secundaria (154)",774,723,36,6,9
"Superior no univ. incompleta (155)",31,26,1,3,1
"Superior no univ. completa (156)",54,29,13,9,3
"Superior univ. incompleta (157)",7,7,,,
"Superior univ. completa (158)",25,15,8,1,1
"De 45 a 64 años (160)",3239,3026,194,15,4
"Sin nivel (161)",713,669,40,4,
"Primaria (163)",2205,2069,126,8,2
"Secundaria (164)",281,260,20,,1
"Superior no univ. incompleta (165)",4,3,,1,
"Superior no univ. completa (166)",17,8,6,2,1
"Superior univ. incompleta (167)",6,6,,,
"Superior univ. completa (168)",13,11,2,,
"De 65 y más años (170)",773,738,35,,
"Sin nivel (171)",313,296,17,,
"Primaria (173)",434,418,16,,
"Secundaria (174)",23,22,1,,
"Superior no univ. completa (176)",2,2,,,
"Superior univ. completa (178)",1,,1,,
