"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ABANCAY (000)",31552,21015,4072,2060,4405
"Hombres (001)",20119,13234,3034,1285,2566
"Mujeres (002)",11433,7781,1038,775,1839
"De 06 a 14 años (003)",734,649,72,11,2
"Hombres (004)",493,428,54,10,1
"Mujeres (005)",241,221,18,1,1
"De 15 a 29 años (006)",9617,6792,1321,553,951
"Hombres (007)",5958,4170,956,348,484
"Mujeres (008)",3659,2622,365,205,467
"De 30 a 44 años (009)",11780,7092,1566,937,2185
"Hombres (010)",7274,4368,1123,547,1236
"Mujeres (011)",4506,2724,443,390,949
"De 45 a 64 años (012)",7687,4993,947,525,1222
"Hombres (013)",5066,3157,753,351,805
"Mujeres (014)",2621,1836,194,174,417
"De 65 y más años (015)",1734,1489,166,34,45
"Hombres (016)",1328,1111,148,29,40
"Mujeres (017)",406,378,18,5,5
,,,,,
"URBANA (018)",22085,13482,2507,1897,4199
"Hombres (019)",12529,7298,1656,1153,2422
"Mujeres (020)",9556,6184,851,744,1777
"De 06 a 14 años (021)",526,467,47,10,2
"Hombres (022)",334,291,33,9,1
"Mujeres (023)",192,176,14,1,1
"De 15 a 29 años (024)",7064,4769,901,505,889
"Hombres (025)",3974,2620,596,310,448
"Mujeres (026)",3090,2149,305,195,441
"De 30 a 44 años (027)",8693,4688,1039,867,2099
"Hombres (028)",4791,2464,657,491,1179
"Mujeres (029)",3902,2224,382,376,920
"De 45 a 64 años (030)",5059,2933,474,483,1169
"Hombres (031)",2942,1535,332,316,759
"Mujeres (032)",2117,1398,142,167,410
"De 65 y más años (033)",743,625,46,32,40
"Hombres (034)",488,388,38,27,35
"Mujeres (035)",255,237,8,5,5
,,,,,
"RURAL (036)",9467,7533,1565,163,206
"Hombres (037)",7590,5936,1378,132,144
"Mujeres (038)",1877,1597,187,31,62
"De 06 a 14 años (039)",208,182,25,1,
"Hombres (040)",159,137,21,1,
"Mujeres (041)",49,45,4,,
"De 15 a 29 años (042)",2553,2023,420,48,62
"Hombres (043)",1984,1550,360,38,36
"Mujeres (044)",569,473,60,10,26
"De 30 a 44 años (045)",3087,2404,527,70,86
"Hombres (046)",2483,1904,466,56,57
"Mujeres (047)",604,500,61,14,29
"De 45 a 64 años (048)",2628,2060,473,42,53
"Hombres (049)",2124,1622,421,35,46
"Mujeres (050)",504,438,52,7,7
"De 65 y más años (051)",991,864,120,2,5
"Hombres (052)",840,723,110,2,5
"Mujeres (053)",151,141,10,,
