"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CARABAYA (000)",24576,637,8578,8603,5246,1512
"Agric., ganadería, caza y silvicultura (001)",16682,569,5439,5343,3965,1366
"Pesca (002)",16,,7,7,2,
"Explotación de minas y canteras (003)",1558,9,851,507,181,10
"Industrias manufactureras (004)",288,2,122,105,49,10
"Suministro de electricidad, gas y agua (005)",45,,15,16,14,
"Construcción (006)",1105,3,467,436,186,13
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1657,20,514,768,298,57
"Venta, mant.y rep. veh.autom.y motoc. (008)",72,1,33,25,12,1
"Comercio al por mayor (009)",67,,21,36,9,1
"Comercio al por menor (010)",1518,19,460,707,277,55
"Hoteles y restaurantes (011)",357,12,178,98,62,7
"Trans., almac. y comunicaciones (012)",446,5,134,214,89,4
"Intermediación financiera (013)",5,,2,2,1,
"Activid.inmobil., empres. y alquileres (014)",175,,63,77,33,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",474,,190,195,82,7
"Enseñanza (016)",850,,190,516,139,5
"Servicios sociales y de salud (017)",192,,65,95,32,
"Otras activ. serv.comun.soc y personales (018)",138,6,58,54,19,1
"Hogares privados con servicio doméstico (019)",149,10,81,33,20,5
"Actividad economica no especificada (021)",439,1,202,137,74,25
"Hombres (022)",15403,343,5247,5486,3352,975
"Agric., ganadería, caza y silvicultura (023)",9958,305,3086,3264,2412,891
"Pesca (024)",13,,6,5,2,
"Explotación de minas y canteras (025)",1500,8,812,493,177,10
"Industrias manufactureras (026)",202,2,88,75,29,8
"Suministro de electricidad, gas y agua (027)",41,,15,13,13,
"Construcción (028)",1051,3,435,417,184,12
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",665,8,194,295,143,25
"Venta, mant.y rep. veh.autom.y motoc. (030)",63,1,31,19,11,1
"Comercio al por mayor (031)",27,,9,15,2,1
"Comercio al por menor (032)",575,7,154,261,130,23
"Hoteles y restaurantes (033)",99,4,39,32,23,1
"Trans., almac. y comunicaciones (034)",421,5,121,207,84,4
"Intermediación financiera (035)",5,,2,2,1,
"Activid.inmobil., empres. y alquileres (036)",145,,50,63,32,
"Admin.pub. y defensa; p. segur.soc.afil (037)",383,,136,168,72,7
"Enseñanza (038)",515,,85,313,112,5
"Servicios sociales y de salud (039)",96,,23,51,22,
"Otras activ. serv.comun.soc y personales (040)",69,6,33,21,9,
