"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUAYLAS (000)",16097,333,4968,5508,4049,1239
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",49,,6,17,24,2
"Profes., científicos e intelectuales (002)",1043,,167,573,293,10
"Técnicos de nivel medio y trab. asimilados (003)",372,,92,168,101,11
"Jefes y empleados de oficina (004)",423,,151,158,110,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1623,12,442,550,482,137
"Agricult. trabaj. calif.agrop. y pesqueros (006)",5195,34,1111,1735,1597,718
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",735,5,237,264,184,45
"Obreros construc., conf., papel, fab., instr. (008)",983,,337,394,218,34
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",5317,281,2303,1536,952,245
"Otra (010)",87,,31,43,13,
"Ocupación no especificada (011)",270,1,91,70,75,33
"Hombres (012)",11691,224,3610,3967,2921,969
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",36,,6,9,19,2
"Profes., científicos e intelectuales (014)",526,,71,273,175,7
"Técnicos de nivel medio y trab. asimilados (015)",227,,59,97,63,8
"Jefes y empleados de oficina (016)",209,,57,91,58,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",632,7,196,216,150,63
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4794,24,996,1645,1479,650
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",662,5,219,234,163,41
"Obreros construc., conf., papel, fab., instr. (020)",969,,332,389,214,34
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3470,188,1614,947,573,148
"Otra (022)",85,,30,42,13,
"Ocupación no especificada (023)",81,,30,24,14,13
"Mujeres (024)",4406,109,1358,1541,1128,270
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",13,,,8,5,
"Profes., científicos e intelectuales (026)",517,,96,300,118,3
"Técnicos de nivel medio y trab. asimilados (027)",145,,33,71,38,3
"Jefes y empleados de oficina (028)",214,,94,67,52,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",991,5,246,334,332,74
"Agricult. trabaj. calif.agrop. y pesqueros (030)",401,10,115,90,118,68
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",73,,18,30,21,4
"Obreros construc., conf., papel, fab., instr. (032)",14,,5,5,4,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1847,93,689,589,379,97
