"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUALLAGA (000)",9085,826,1226,5178,238,1298,319
"Agric., ganadería, caza y silvicultura (001)",6623,3,976,4257,202,1185,
"Pesca (002)",2,,,1,1,,
"Explotación de minas y canteras (003)",1,,1,,,,
"Industrias manufactureras (004)",164,5,52,100,6,1,
"Suministro de electricidad, gas y agua (005)",9,4,5,,,,
"Construcción (006)",102,4,75,21,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",507,54,8,386,12,47,
"Venta, mant.y rep. veh.autom y motoc. (008)",59,7,7,41,,4,
"Comercio al por mayor (009)",35,4,,24,,7,
"Comercio al por menor (010)",413,43,1,321,12,36,
"Hoteles y restaurantes (011)",152,14,7,118,3,10,
"Trans., almac. y comunicaciones (012)",254,48,30,165,7,4,
"Intermediación financiera (013)",6,6,,,,,
"Activid.inmobil., empres. y alquileres (014)",54,36,8,9,1,,
"Admin.pub. y defensa; p. segur soc.afil (015)",157,145,12,,,,
"Enseñanza (016)",364,354,,6,,4,
"Servicios sociales y de salud (017)",104,96,,8,,,
"Otras activ. serv.comun.soc y personales (018)",59,23,2,29,3,2,
"Hogares privados con servicio doméstico (019)",319,,,,,,319
"Actividad economica no especificada (021)",208,34,50,78,1,45,
"Hombres (022)",7081,461,1048,4569,216,775,12
"Agric., ganadería, caza y silvicultura (023)",5818,2,857,4017,192,750,
"Pesca (024)",2,,,1,1,,
"Explotación de minas y canteras (025)",1,,1,,,,
"Industrias manufactureras (026)",124,3,46,70,5,,
"Suministro de electricidad, gas y agua (027)",9,4,5,,,,
"Construcción (028)",99,3,73,21,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",284,27,7,235,7,8,
"Venta, mant.y rep. veh.autom y motoc. (030)",50,3,7,38,,2,
"Comercio al por mayor (031)",19,2,,17,,,
"Comercio al por menor (032)",215,22,,180,7,6,
"Hoteles y restaurantes (033)",21,7,1,11,1,1,
"Trans., almac. y comunicaciones (034)",236,33,30,164,5,4,
"Intermediación financiera (035)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (036)",42,27,5,9,1,,
"Admin.pub. y defensa; p. segur soc.afil (037)",108,98,10,,,,
"Enseñanza (038)",190,188,,,,2,
"Servicios sociales y de salud (039)",36,32,,4,,,
"Otras activ. serv.comun.soc y personales (040)",38,20,1,14,2,1,
"Hogares privados con servicio doméstico (041)",12,,,,,,12
"Actividad economica no especificada (043)",57,13,12,23,,9,
"Mujeres (044)",2004,365,178,609,22,523,307
"Agric., ganadería, caza y silvicultura (045)",805,1,119,240,10,435,
"Industrias manufactureras (048)",40,2,6,30,1,1,
"Construcción (050)",3,1,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",223,27,1,151,5,39,
"Venta, mant.y rep. veh.autom y motoc. (052)",9,4,,3,,2,
"Comercio al por mayor (053)",16,2,,7,,7,
"Comercio al por menor (054)",198,21,1,141,5,30,
"Hoteles y restaurantes (055)",131,7,6,107,2,9,
"Trans., almac. y comunicaciones (056)",18,15,,1,2,,
"Intermediación financiera (057)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (058)",12,9,3,,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",49,47,2,,,,
"Enseñanza (060)",174,166,,6,,2,
"Servicios sociales y de salud (061)",68,64,,4,,,
"Otras activ. serv.comun.soc y personales (062)",21,3,1,15,1,1,
"Hogares privados con servicio doméstico (063)",307,,,,,,307
"Actividad economica no especificada (065)",151,21,38,55,1,36,
,,,,,,,
"URBANA (066)",4896,759,601,2694,88,518,236
"Agric., ganadería, caza y silvicultura (067)",2787,3,410,1876,55,443,
"Pesca (068)",1,,,,1,,
"Industrias manufactureras (070)",151,5,43,96,6,1,
"Suministro de electricidad, gas y agua (071)",9,4,5,,,,
"Construcción (072)",91,4,68,17,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",454,54,7,341,10,42,
"Venta, mant.y rep. veh.autom y motoc. (074)",58,7,6,41,,4,
"Comercio al por mayor (075)",29,4,,19,,6,
"Comercio al por menor (076)",367,43,1,281,10,32,
"Hoteles y restaurantes (077)",141,13,6,111,3,8,
"Trans., almac. y comunicaciones (078)",236,44,24,158,6,4,
"Intermediación financiera (079)",6,6,,,,,
"Activid.inmobil., empres. y alquileres (080)",51,34,7,9,1,,
"Admin.pub. y defensa; p. segur soc.afil (081)",154,143,11,,,,
"Enseñanza (082)",320,310,,6,,4,
"Servicios sociales y de salud (083)",95,87,,8,,,
"Otras activ. serv.comun.soc y personales (084)",55,21,2,27,3,2,
"Hogares privados con servicio doméstico (085)",236,,,,,,236
"Actividad economica no especificada (087)",109,31,18,45,1,14,
"Hombres (088)",3574,426,513,2255,71,298,11
"Agric., ganadería, caza y silvicultura (089)",2431,2,350,1755,50,274,
"Pesca (090)",1,,,,1,,
"Industrias manufactureras (092)",112,3,37,67,5,,
"Suministro de electricidad, gas y agua (093)",9,4,5,,,,
"Construcción (094)",88,3,66,17,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",251,27,6,205,5,8,
"Venta, mant.y rep. veh.autom y motoc. (096)",49,3,6,38,,2,
"Comercio al por mayor (097)",16,2,,14,,,
"Comercio al por menor (098)",186,22,,153,5,6,
"Hoteles y restaurantes (099)",21,7,1,11,1,1,
"Trans., almac. y comunicaciones (100)",218,29,24,157,4,4,
"Intermediación financiera (101)",4,4,,,,,
"Activid.inmobil., empres. y alquileres (102)",39,25,4,9,1,,
"Admin.pub. y defensa; p. segur soc.afil (103)",106,97,9,,,,
"Enseñanza (104)",167,165,,,,2,
"Servicios sociales y de salud (105)",34,30,,4,,,
"Otras activ. serv.comun.soc y personales (106)",35,18,1,13,2,1,
"Hogares privados con servicio doméstico (107)",11,,,,,,11
"Actividad economica no especificada (109)",47,12,10,17,,8,
"Mujeres (110)",1322,333,88,439,17,220,225
"Agric., ganadería, caza y silvicultura (111)",356,1,60,121,5,169,
"Industrias manufactureras (114)",39,2,6,29,1,1,
"Construcción (116)",3,1,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",203,27,1,136,5,34,
"Venta, mant.y rep. veh.autom y motoc. (118)",9,4,,3,,2,
"Comercio al por mayor (119)",13,2,,5,,6,
"Comercio al por menor (120)",181,21,1,128,5,26,
"Hoteles y restaurantes (121)",120,6,5,100,2,7,
"Trans., almac. y comunicaciones (122)",18,15,,1,2,,
"Intermediación financiera (123)",2,2,,,,,
"Activid.inmobil., empres. y alquileres (124)",12,9,3,,,,
"Admin.pub. y defensa; p. segur soc.afil (125)",48,46,2,,,,
"Enseñanza (126)",153,145,,6,,2,
"Servicios sociales y de salud (127)",61,57,,4,,,
"Otras activ. serv.comun.soc y personales (128)",20,3,1,14,1,1,
"Hogares privados con servicio doméstico (129)",225,,,,,,225
"Actividad economica no especificada (131)",62,19,8,28,1,6,
