"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SULLANA (000)",218294,31523,42154,46011,37034,27363,34209
"Conviviente (001)",48558,691,9077,16956,10991,5944,4899
"Separado(a) (002)",7973,43,792,1918,1989,1613,1618
"Casado(a) (003)",72431,98,3639,15141,18712,16050,18791
"Viudo(a) (004)",7568,5,30,146,363,813,6211
"Divorciado(a) (005)",586,,19,62,127,151,227
"Soltero(a) (006)",81178,30686,28597,11788,4852,2792,2463
"Hombres (008)",107325,15822,20822,22071,18024,13515,17071
"Conviviente (009)",23194,207,3097,8100,5656,3242,2892
"Separado(a) (010)",2163,10,124,445,537,490,557
"Casado(a) (011)",35465,52,1099,6558,8962,8135,10659
"Viudo(a) (012)",2006,3,5,20,87,187,1704
"Divorciado(a) (013)",261,,6,22,60,65,108
"Soltero(a) (014)",44236,15550,16491,6926,2722,1396,1151
"Mujeres (016)",110969,15701,21332,23940,19010,13848,17138
"Conviviente (017)",25364,484,5980,8856,5335,2702,2007
"Separado(a) (018)",5810,33,668,1473,1452,1123,1061
"Casado(a) (019)",36966,46,2540,8583,9750,7915,8132
"Viudo(a) (020)",5562,2,25,126,276,626,4507
"Divorciado(a) (021)",325,,13,40,67,86,119
"Soltero(a) (022)",36942,15136,12106,4862,2130,1396,1312
,,,,,,,
"URBANA (024)",196568,28009,37730,41706,33604,24899,30620
"Conviviente (025)",42823,604,8094,15223,9673,5173,4056
"Separado(a) (026)",7503,34,736,1811,1884,1513,1525
"Casado(a) (027)",65909,82,3242,13725,17160,14754,16946
"Viudo(a) (028)",6877,2,29,128,339,749,5630
"Divorciado(a) (029)",553,,17,56,123,144,213
"Soltero(a) (030)",72903,27287,25612,10763,4425,2566,2250
"Hombres (032)",95853,14061,18408,19895,16230,12216,15043
"Conviviente (033)",20367,188,2768,7259,4967,2814,2371
"Separado(a) (034)",2001,6,117,422,501,448,507
"Casado(a) (035)",32189,46,995,5932,8184,7472,9560
"Viudo(a) (036)",1757,1,5,15,76,164,1496
"Divorciado(a) (037)",246,,5,21,56,62,102
"Soltero(a) (038)",39293,13820,14518,6246,2446,1256,1007
"Mujeres (040)",100715,13948,19322,21811,17374,12683,15577
"Conviviente (041)",22456,416,5326,7964,4706,2359,1685
"Separado(a) (042)",5502,28,619,1389,1383,1065,1018
"Casado(a) (043)",33720,36,2247,7793,8976,7282,7386
"Viudo(a) (044)",5120,1,24,113,263,585,4134
"Divorciado(a) (045)",307,,12,35,67,82,111
"Soltero(a) (046)",33610,13467,11094,4517,1979,1310,1243
,,,,,,,
"RURAL (048)",21726,3514,4424,4305,3430,2464,3589
"Conviviente (049)",5735,87,983,1733,1318,771,843
"Separado(a) (050)",470,9,56,107,105,100,93
"Casado(a) (051)",6522,16,397,1416,1552,1296,1845
"Viudo(a) (052)",691,3,1,18,24,64,581
"Divorciado(a) (053)",33,,2,6,4,7,14
"Soltero(a) (054)",8275,3399,2985,1025,427,226,213
"Hombres (056)",11472,1761,2414,2176,1794,1299,2028
"Conviviente (057)",2827,19,329,841,689,428,521
"Separado(a) (058)",162,4,7,23,36,42,50
"Casado(a) (059)",3276,6,104,626,778,663,1099
"Viudo(a) (060)",249,2,,5,11,23,208
"Divorciado(a) (061)",15,,1,1,4,3,6
"Soltero(a) (062)",4943,1730,1973,680,276,140,144
"Mujeres (064)",10254,1753,2010,2129,1636,1165,1561
"Conviviente (065)",2908,68,654,892,629,343,322
"Separado(a) (066)",308,5,49,84,69,58,43
"Casado(a) (067)",3246,10,293,790,774,633,746
"Viudo(a) (068)",442,1,1,13,13,41,373
"Divorciado(a) (069)",18,,1,5,,4,8
"Soltero(a) (070)",3332,1669,1012,345,151,86,69
