"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARAZ (000)",39829,37973,148,8868,9088,6534,7625,3757,1560,393,1856,121597
"De 12 a 14 años (001)",29,11,3,8,,,,,,,18,8
"De 15 a 19 años (002)",622,557,6,499,45,3,4,,,,65,614
"De 20 a 24 años (003)",3519,2898,12,2060,670,127,23,6,,,621,3917
"De 25 a 29 años (004)",4916,4360,27,2147,1502,506,172,6,,,556,7422
"De 30 a 34 años (005)",5194,4950,16,1486,1903,948,512,72,10,3,244,10889
"De 35 a 39 años (006)",4813,4706,9,817,1581,1133,942,183,38,3,107,12960
"De 40 a 44 años (007)",4118,4055,3,530,1127,966,1004,328,83,14,63,12970
"De 45 a 49 años (008)",3510,3466,7,335,699,798,1009,452,138,28,44,12913
"De 50 y más años (009)",13108,12970,65,986,1561,2053,3959,2710,1291,345,138,59904
"Sin nivel (010)",8424,8285,42,739,1031,1204,2484,1785,799,201,139,37812
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",33,29,,25,3,1,,,,,4,34
"De 20 a 24 años (013)",159,137,,81,44,9,3,,,,22,209
"De 25 a 29 años (014)",215,200,2,45,73,51,28,1,,,15,466
"De 30 a 34 años (015)",417,407,2,72,119,100,89,18,5,2,10,1169
"De 35 a 39 años (016)",524,517,3,43,99,128,177,53,13,1,7,1861
"De 40 a 44 años (017)",580,571,,52,88,102,193,97,32,7,9,2333
"De 45 a 49 años (018)",709,699,3,41,76,101,255,150,62,11,10,3223
"De 50 y más años (019)",5785,5724,32,379,529,712,1739,1466,687,180,61,28516
"Educacion Inicial (020)",58,53,1,17,16,9,9,1,,,5,121
"De 15 a 19 años (022)",4,3,,3,,,,,,,1,3
