"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MORROPON (000)",47136,38992,3500,2016,2628
"Agric., ganadería, caza y silvicultura (001)",25300,22636,1381,482,801
"Pesca (002)",84,31,18,14,21
"Explotación de minas y canteras (003)",23,6,2,5,10
"Industrias manufactureras (004)",2435,1899,333,116,87
"Suministro de electricidad, gas y agua (005)",103,48,9,40,6
"Construcción (006)",1589,1048,315,179,47
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6290,5910,296,78,6
"Venta, mant.y rep. veh.autom y motoc. (008)",377,341,22,12,2
"Comercio al por mayor (009)",277,231,24,18,4
"Comercio al por menor (010)",5636,5338,250,48,
"Hoteles y restaurantes (011)",1277,1194,59,22,2
"Trans., almac. y comunicaciones (012)",2639,2322,174,97,46
"Intermediación financiera (013)",51,5,6,28,12
"Activid.inmobil., empres. y alquileres (014)",698,353,110,131,104
"Admin.pub. y defensa; p. segur soc.afil (015)",914,,,,914
"Enseñanza (016)",1921,576,523,667,155
"Servicios sociales y de salud (017)",473,105,23,19,326
"Otras activ. serv.comun.soc y personales (018)",768,573,120,59,16
"Hogares privados con servicio doméstico (019)",823,823,,,
"Organiz. y organos extraterritoriales (020)",1,,,,1
"Actividad economica no especificada (021)",1747,1463,131,79,74
"Hombres (022)",36566,30623,2799,1368,1776
"Agric., ganadería, caza y silvicultura (023)",23416,21069,1290,423,634
"Pesca (024)",78,29,17,13,19
"Explotación de minas y canteras (025)",22,6,2,5,9
"Industrias manufactureras (026)",1817,1352,299,97,69
"Suministro de electricidad, gas y agua (027)",92,46,9,32,5
"Construcción (028)",1543,1024,305,171,43
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3517,3267,200,47,3
"Venta, mant.y rep. veh.autom y motoc. (030)",352,322,21,8,1
"Comercio al por mayor (031)",171,138,17,14,2
"Comercio al por menor (032)",2994,2807,162,25,
"Hoteles y restaurantes (033)",189,163,21,5,
"Trans., almac. y comunicaciones (034)",2566,2262,168,93,43
"Intermediación financiera (035)",32,5,3,17,7
"Activid.inmobil., empres. y alquileres (036)",504,256,82,98,68
"Admin.pub. y defensa; p. segur soc.afil (037)",609,,,,609
"Enseñanza (038)",726,156,225,271,74
"Servicios sociales y de salud (039)",208,59,8,6,135
