"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia EL DORADO (000)",10606,32929,29362,,737,89.2,2.2
"De 12 a 14 años (001)",1245,12,11,,6,91.7,50
"De 15 a 19 años (002)",1531,622,609,134,97.9,21.5,
"De 20 a 24 años (003)",1398,1981,1915,217,96.7,11,
"De 25 a 29 años (004)",1191,2691,2582,157,95.9,5.8,
"De 30 a 34 años (005)",1016,3163,2985,99,94.4,3.1,
"De 35 a 39 años (006)",969,3902,3627,91,93,2.3,
"De 40 a 44 años (007)",773,3772,3453,25,91.5,0.7,
"De 45 a 49 años (008)",644,3778,3361,8,89,0.2,
"De 50 y más años (009)",1839,13008,10819,,83.2,,
"PEA (010)",3731,12149,10878,179,89.5,1.5,
"De 12 a 14 años (011)",183,3,3,,100,,
"De 15 a 19 años (012)",500,194,192,26,99,13.4,
"De 20 a 24 años (013)",507,664,648,53,97.6,8,
"De 25 a 29 años (014)",407,842,807,34,95.8,4,
"De 30 a 34 años (015)",419,1230,1153,27,93.7,2.2,
"De 35 a 39 años (016)",448,1606,1499,27,93.3,1.7,
"De 40 a 44 años (017)",340,1577,1465,9,92.9,0.6,
"De 45 a 49 años (018)",290,1597,1423,3,89.1,0.2,
"De 50 y más años (019)",637,4436,3688,,83.1,,
"Ocupada (020)",3689,12094,10827,177,89.5,1.5,
"De 12 a 14 años (021)",178,3,3,,100,,
"De 15 a 19 años (022)",487,192,190,25,99,13,
"De 20 a 24 años (023)",499,660,644,53,97.6,8,
"De 25 a 29 años (024)",402,836,801,34,95.8,4.1,
"De 30 a 34 años (025)",415,1224,1147,27,93.7,2.2,
"De 35 a 39 años (026)",445,1599,1492,27,93.3,1.7,
"De 40 a 44 años (027)",339,1566,1454,8,92.8,0.5,
"De 45 a 49 años (028)",289,1595,1421,3,89.1,0.2,
"De 50 y más años (029)",635,4419,3675,,83.2,,
"Desocupada (030)",42,55,51,2,92.7,3.6,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",13,2,2,1,100,50,
"De 20 a 24 años (033)",8,4,4,,100,,
"De 25 a 29 años (034)",5,6,6,,100,,
"De 30 a 34 años (035)",4,6,6,,100,,
"De 35 a 39 años (036)",3,7,7,,100,,
"De 40 a 44 años (037)",1,11,11,1,100,9.1,
