"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TRUJILLO (000)",768445,29062,68465,80547,85538,152764,117805,180260,54004
"Sabe leer y escribir (001)",705105,,55367,79808,84802,150998,115919,172536,45675
"No sabe leer y escribir (002)",63340,29062,13098,739,736,1766,1886,7724,8329
"Hombres (004)",370352,14746,34963,40696,41886,73869,55714,83825,24653
"Sabe leer y escribir (005)",343919,,28208,40297,41546,73160,55122,82413,23173
"No sabe leer y escribir (006)",26433,14746,6755,399,340,709,592,1412,1480
"Mujeres (008)",398093,14316,33502,39851,43652,78895,62091,96435,29351
"Sabe leer y escribir (009)",361186,,27159,39511,43256,77838,60797,90123,22502
"No sabe leer y escribir (010)",36907,14316,6343,340,396,1057,1294,6312,6849
,,,,,,,,,
"URBANA (012)",750023,28225,66548,78243,83526,149345,115138,176284,52714
"Sabe leer y escribir (013)",689333,,53927,77548,82838,147699,113401,169079,44841
"No sabe leer y escribir (014)",60690,28225,12621,695,688,1646,1737,7205,7873
"Hombres (016)",360828,14341,33995,39497,40776,72134,54344,81777,23964
"Sabe leer y escribir (017)",335456,,27492,39117,40467,71468,53806,80485,22621
"No sabe leer y escribir (018)",25372,14341,6503,380,309,666,538,1292,1343
"Mujeres (020)",389195,13884,32553,38746,42750,77211,60794,94507,28750
"Sabe leer y escribir (021)",353877,,26435,38431,42371,76231,59595,88594,22220
"No sabe leer y escribir (022)",35318,13884,6118,315,379,980,1199,5913,6530
,,,,,,,,,
"RURAL (024)",18422,837,1917,2304,2012,3419,2667,3976,1290
"Sabe leer y escribir (025)",15772,,1440,2260,1964,3299,2518,3457,834
"No sabe leer y escribir (026)",2650,837,477,44,48,120,149,519,456
"Hombres (028)",9524,405,968,1199,1110,1735,1370,2048,689
"Sabe leer y escribir (029)",8463,,716,1180,1079,1692,1316,1928,552
"No sabe leer y escribir (030)",1061,405,252,19,31,43,54,120,137
"Mujeres (032)",8898,432,949,1105,902,1684,1297,1928,601
"Sabe leer y escribir (033)",7309,,724,1080,885,1607,1202,1529,282
"No sabe leer y escribir (034)",1589,432,225,25,17,77,95,399,319
