"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia URUBAMBA (000)",56685,28869,27816,27731,14071,13660,28954,14798,14156
"Menores de 1 año (001)",900,480,420,377,200,177,523,280,243
"Menores de 1 mes (002)",70,34,36,27,13,14,43,21,22
"De 1 a 11 meses (003)",830,446,384,350,187,163,480,259,221
"De 1 a 4 años (004)",4610,2346,2264,2021,1033,988,2589,1313,1276
"1 año (005)",973,517,456,437,222,215,536,295,241
"2 años (006)",1206,626,580,524,272,252,682,354,328
"3 años (007)",1221,595,626,534,263,271,687,332,355
"4 años (008)",1210,608,602,526,276,250,684,332,352
"De 5 a 9 años (009)",5951,2982,2969,2552,1257,1295,3399,1725,1674
"5 años (010)",1191,605,586,512,263,249,679,342,337
"6 años (011)",1123,557,566,468,222,246,655,335,320
"7 años (012)",1232,626,606,513,250,263,719,376,343
"8 años (013)",1188,591,597,527,258,269,661,333,328
"9 años (014)",1217,603,614,532,264,268,685,339,346
"De 10 a 14 años (015)",6887,3509,3378,2968,1498,1470,3919,2011,1908
"10 años (016)",1434,717,717,618,309,309,816,408,408
"11 años (017)",1274,668,606,560,280,280,714,388,326
"12 años (018)",1529,775,754,615,302,313,914,473,441
"13 años (019)",1319,677,642,583,295,288,736,382,354
"14 años (020)",1331,672,659,592,312,280,739,360,379
"De 15 a 19 años (021)",5725,3016,2709,2861,1474,1387,2864,1542,1322
"15 años (022)",1265,595,670,596,265,331,669,330,339
"16 años (023)",1189,618,571,610,310,300,579,308,271
"17 años (024)",1217,645,572,598,314,284,619,331,288
"18 años (025)",1149,659,490,560,321,239,589,338,251
"19 años (026)",905,499,406,497,264,233,408,235,173
"De 20 a 24 años (027)",4716,2434,2282,2549,1252,1297,2167,1182,985
"20 años (028)",1079,570,509,532,264,268,547,306,241
"21 años (029)",832,417,415,473,228,245,359,189,170
"22 años (030)",943,486,457,510,244,266,433,242,191
"23 años (031)",939,485,454,548,285,263,391,200,191
"24 años (032)",923,476,447,486,231,255,437,245,192
"De 25 a 29 años (033)",4783,2443,2340,2905,1537,1368,1878,906,972
"25 años (034)",899,444,455,495,235,260,404,209,195
"26 años (035)",819,408,411,436,226,210,383,182,201
"27 años (036)",920,449,471,527,271,256,393,178,215
"28 años (037)",1394,792,602,1017,594,423,377,198,179
"29 años (038)",751,350,401,430,211,219,321,139,182
"De 30 a 34 años (039)",3986,2016,1970,2131,1055,1076,1855,961,894
"30 años (040)",1042,528,514,538,282,256,504,246,258
"31 años (041)",618,309,309,327,156,171,291,153,138
"32 años (042)",787,370,417,422,187,235,365,183,182
"33 años (043)",793,405,388,448,218,230,345,187,158
"34 años (044)",746,404,342,396,212,184,350,192,158
