"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHUPACA (000)",18885,3003,3849,8835,193,2705,300
"Agric., ganadería, caza y silvicultura (001)",9523,18,2386,4716,87,2316,
"Pesca (002)",15,,2,7,1,5,
"Explotación de minas y canteras (003)",236,27,201,8,,,
"Industrias manufactureras (004)",1425,36,414,904,20,51,
"Suministro de electricidad, gas y agua (005)",31,16,15,,,,
"Construcción (006)",733,31,453,233,5,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2048,313,67,1435,36,197,
"Venta, mant.y rep. veh.autom y motoc. (008)",208,22,53,119,10,4,
"Comercio al por mayor (009)",69,22,1,40,3,3,
"Comercio al por menor (010)",1771,269,13,1276,23,190,
"Hoteles y restaurantes (011)",602,158,34,370,10,30,
"Trans., almac. y comunicaciones (012)",1062,286,140,621,9,6,
"Intermediación financiera (013)",14,14,,,,,
"Activid.inmobil., empres. y alquileres (014)",368,259,19,80,9,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",351,324,27,,,,
"Enseñanza (016)",1215,1140,,67,,8,
"Servicios sociales y de salud (017)",241,194,5,38,1,3,
"Otras activ. serv.comun.soc y personales (018)",304,90,15,186,5,8,
"Hogares privados con servicio doméstico (019)",300,,,,,,300
"Actividad economica no especificada (021)",417,97,71,170,10,69,
"Hombres (022)",11279,1802,2728,5623,128,981,17
"Agric., ganadería, caza y silvicultura (023)",5365,12,1381,3052,60,860,
"Pesca (024)",12,,2,7,,3,
"Explotación de minas y canteras (025)",232,26,200,6,,,
"Industrias manufactureras (026)",1190,26,377,749,13,25,
"Suministro de electricidad, gas y agua (027)",29,15,14,,,,
"Construcción (028)",717,27,445,229,5,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",896,152,64,614,22,44,
"Venta, mant.y rep. veh.autom y motoc. (030)",199,20,51,115,10,3,
"Comercio al por mayor (031)",33,10,1,19,3,,
"Comercio al por menor (032)",664,122,12,480,9,41,
"Hoteles y restaurantes (033)",185,78,19,78,4,6,
"Trans., almac. y comunicaciones (034)",1007,260,134,598,9,6,
"Intermediación financiera (035)",8,8,,,,,
"Activid.inmobil., empres. y alquileres (036)",280,185,18,67,9,1,
"Admin.pub. y defensa; p. segur soc.afil (037)",258,242,16,,,,
"Enseñanza (038)",640,598,,40,,2,
"Servicios sociales y de salud (039)",102,73,1,26,1,1,
"Otras activ. serv.comun.soc y personales (040)",159,46,10,99,2,2,
"Hogares privados con servicio doméstico (041)",17,,,,,,17
"Actividad economica no especificada (043)",182,54,47,58,3,20,
"Mujeres (044)",7606,1201,1121,3212,65,1724,283
"Agric., ganadería, caza y silvicultura (045)",4158,6,1005,1664,27,1456,
"Pesca (046)",3,,,,1,2,
"Explotación de minas y canteras (047)",4,1,1,2,,,
"Industrias manufactureras (048)",235,10,37,155,7,26,
"Suministro de electricidad, gas y agua (049)",2,1,1,,,,
"Construcción (050)",16,4,8,4,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1152,161,3,821,14,153,
"Venta, mant.y rep. veh.autom y motoc. (052)",9,2,2,4,,1,
"Comercio al por mayor (053)",36,12,,21,,3,
"Comercio al por menor (054)",1107,147,1,796,14,149,
"Hoteles y restaurantes (055)",417,80,15,292,6,24,
"Trans., almac. y comunicaciones (056)",55,26,6,23,,,
"Intermediación financiera (057)",6,6,,,,,
"Activid.inmobil., empres. y alquileres (058)",88,74,1,13,,,
"Admin.pub. y defensa; p. segur soc.afil (059)",93,82,11,,,,
"Enseñanza (060)",575,542,,27,,6,
"Servicios sociales y de salud (061)",139,121,4,12,,2,
"Otras activ. serv.comun.soc y personales (062)",145,44,5,87,3,6,
"Hogares privados con servicio doméstico (063)",283,,,,,,283
"Actividad economica no especificada (065)",235,43,24,112,7,49,
,,,,,,,
"URBANA (066)",11952,2435,2120,5682,153,1406,156
"Agric., ganadería, caza y silvicultura (067)",4564,13,1108,2313,57,1073,
"Pesca (068)",11,,2,4,1,4,
"Explotación de minas y canteras (069)",122,20,99,3,,,
"Industrias manufactureras (070)",1226,24,338,803,19,42,
"Suministro de electricidad, gas y agua (071)",20,13,7,,,,
"Construcción (072)",528,28,317,171,4,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1676,263,38,1166,35,174,
"Venta, mant.y rep. veh.autom y motoc. (074)",159,19,31,96,10,3,
"Comercio al por mayor (075)",57,17,1,33,3,3,
"Comercio al por menor (076)",1460,227,6,1037,22,168,
"Hoteles y restaurantes (077)",522,141,27,317,10,27,
"Trans., almac. y comunicaciones (078)",770,215,75,470,5,5,
"Intermediación financiera (079)",11,11,,,,,
"Activid.inmobil., empres. y alquileres (080)",301,209,16,67,8,1,
"Admin.pub. y defensa; p. segur soc.afil (081)",272,254,18,,,,
"Enseñanza (082)",1007,940,,59,,8,
"Servicios sociales y de salud (083)",188,152,3,29,1,3,
"Otras activ. serv.comun.soc y personales (084)",252,76,12,156,3,5,
"Hogares privados con servicio doméstico (085)",156,,,,,,156
"Actividad economica no especificada (087)",326,76,60,124,10,56,
"Hombres (088)",7086,1436,1542,3501,101,496,10
"Agric., ganadería, caza y silvicultura (089)",2497,9,620,1429,41,398,
"Pesca (090)",8,,2,4,,2,
"Explotación de minas y canteras (091)",122,20,99,3,,,
"Industrias manufactureras (092)",1037,16,314,674,13,20,
"Suministro de electricidad, gas y agua (093)",19,13,6,,,,
"Construcción (094)",515,24,311,168,4,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",702,126,36,480,22,38,
"Venta, mant.y rep. veh.autom y motoc. (096)",150,17,29,92,10,2,
"Comercio al por mayor (097)",29,9,1,16,3,,
"Comercio al por menor (098)",523,100,6,372,9,36,
"Hoteles y restaurantes (099)",158,71,15,64,4,4,
"Trans., almac. y comunicaciones (100)",731,197,70,454,5,5,
"Intermediación financiera (101)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (102)",226,147,15,55,8,1,
"Admin.pub. y defensa; p. segur soc.afil (103)",195,186,9,,,,
"Enseñanza (104)",521,482,,37,,2,
"Servicios sociales y de salud (105)",79,58,,19,1,1,
"Otras activ. serv.comun.soc y personales (106)",128,42,9,75,,2,
"Hogares privados con servicio doméstico (107)",10,,,,,,10
"Actividad economica no especificada (109)",131,38,36,39,3,15,
"Mujeres (110)",4866,999,578,2181,52,910,146
"Agric., ganadería, caza y silvicultura (111)",2067,4,488,884,16,675,
"Pesca (112)",3,,,,1,2,
"Industrias manufactureras (114)",189,8,24,129,6,22,
"Suministro de electricidad, gas y agua (115)",1,,1,,,,
"Construcción (116)",13,4,6,3,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",974,137,2,686,13,136,
"Venta, mant.y rep. veh.autom y motoc. (118)",9,2,2,4,,1,
"Comercio al por mayor (119)",28,8,,17,,3,
"Comercio al por menor (120)",937,127,,665,13,132,
