"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUARAZ (000)",58335,133603,121597,,2358,91,1.8
"De 12 a 14 años (001)",4604,10,8,,1,80,10
"De 15 a 19 años (002)",7070,625,614,208,98.2,33.3,
"De 20 a 24 años (003)",7176,3971,3917,573,98.6,14.4,
"De 25 a 29 años (004)",6607,7606,7422,599,97.6,7.9,
"De 30 a 34 años (005)",5957,11173,10889,502,97.5,4.5,
"De 35 a 39 años (006)",5187,13391,12960,320,96.8,2.4,
"De 40 a 44 años (007)",4361,13605,12970,131,95.3,1,
"De 45 a 49 años (008)",3671,13758,12913,24,93.9,0.2,
"De 50 y más años (009)",13702,69464,59904,,86.2,,
"Sin nivel (010)",9032,44724,37812,173,84.5,0.4,
"De 12 a 14 años (011)",63,1,1,,100,,
"De 15 a 19 años (012)",129,34,34,12,100,35.3,
"De 20 a 24 años (013)",228,216,209,26,96.8,12,
"De 25 a 29 años (014)",237,497,466,30,93.8,6,
"De 30 a 34 años (015)",448,1225,1169,43,95.4,3.5,
"De 35 a 39 años (016)",551,1959,1861,36,95,1.8,
"De 40 a 44 años (017)",606,2520,2333,17,92.6,0.7,
"De 45 a 49 años (018)",734,3547,3223,9,90.9,0.3,
"De 50 y más años (019)",6036,34725,28516,,82.1,,
"Educacion Inicial (020)",87,128,121,10,94.5,7.8,
"De 12 a 14 años (021)",15,,,,,,
"De 15 a 19 años (022)",13,3,3,1,100,33.3,
"De 20 a 24 años (023)",13,14,14,3,100,21.4,
"De 25 a 29 años (024)",22,36,33,5,91.7,13.9,
"De 30 a 34 años (025)",12,40,40,,100,,
"De 35 a 39 años (026)",12,35,31,1,88.6,2.9,
"Primaria (030)",14089,42526,38892,592,91.5,1.4,
"De 12 a 14 años (031)",1906,4,3,1,75,25,
"De 15 a 19 años (032)",931,181,179,61,98.9,33.7,
"De 20 a 24 años (033)",1013,1016,997,130,98.1,12.8,
"De 25 a 29 años (034)",1188,2127,2066,123,97.1,5.8,
"De 30 a 34 años (035)",1349,3528,3421,135,97,3.8,
"De 35 a 39 años (036)",1376,4613,4412,82,95.6,1.8,
"De 40 a 44 años (037)",1314,5039,4725,51,93.8,1,
"De 45 a 49 años (038)",1110,5008,4646,9,92.8,0.2,
"De 50 y más años (039)",3902,21010,18443,,87.8,,
