"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHOTA (000)",43359,300,1015,2547,5045,8898,14444,11110
"De 12 a 14 años (001)",65,,,,,,5,60
"De 15 a 19 años (002)",1227,,,,,,679,548
"De 20 a 24 años (003)",4415,,,,,26,2603,1786
"De 25 a 29 años (004)",5341,,,,,288,3339,1714
"De 30 a 34 años (005)",5122,,,,4,954,2930,1234
"De 35 a 39 años (006)",5282,,,,69,1689,2513,1011
"De 40 a 44 años (007)",4214,,,,252,1720,1468,774
"De 45 a 49 años (008)",3734,,,16,613,1705,737,663
"De 50 y más años (009)",13959,300,1015,2531,4107,2516,170,3320
"Sin nivel (010)",15919,246,776,1774,3000,3395,2848,3880
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",81,,,,,,44,37
"De 20 a 24 años (013)",359,,,,,3,209,147
"De 25 a 29 años (014)",646,,,,,34,414,198
"De 30 a 34 años (015)",856,,,,2,132,495,227
"De 35 a 39 años (016)",1407,,,,18,438,639,312
"De 40 a 44 años (017)",1497,,,,75,574,567,281
"De 45 a 49 años (018)",1616,,,3,233,725,378,277
"De 50 y más años (019)",9454,246,776,1771,2672,1489,102,2398
"Educacion Inicial (020)",56,,,,1,7,27,21
"De 15 a 19 años (022)",4,,,,,,2,2
"De 20 a 24 años (023)",12,,,,,,6,6
"De 25 a 29 años (024)",17,,,,,1,10,6
"De 30 a 34 años (025)",16,,,,1,4,5,6
"De 35 a 39 años (026)",7,,,,,2,4,1
"Primaria (030)",19552,51,226,666,1705,4245,8193,4466
"De 12 a 14 años (031)",34,,,,,,4,30
"De 15 a 19 años (032)",703,,,,,,411,292
"De 20 a 24 años (033)",2538,,,,,18,1608,912
"De 25 a 29 años (034)",3004,,,,,165,2005,834
"De 30 a 34 años (035)",2882,,,,1,568,1719,594
"De 35 a 39 años (036)",2791,,,,37,933,1378,443
"De 40 a 44 años (037)",2036,,,,136,862,700,338
"De 45 a 49 años (038)",1641,,,10,281,779,309,262
"De 50 y más años (039)",3923,51,226,656,1250,920,59,761
"Secundaria (040)",5003,2,11,60,213,731,2327,1659
"De 12 a 14 años (041)",28,,,,,,1,27
"De 15 a 19 años (042)",419,,,,,,213,206
"De 20 a 24 años (043)",1138,,,,,5,651,482
"De 25 a 29 años (044)",1101,,,,,72,647,382
"De 30 a 34 años (045)",847,,,,,175,457,215
"De 35 a 39 años (046)",554,,,,9,185,246,114
"De 40 a 44 años (047)",333,,,,31,144,83,75
"De 45 a 49 años (048)",248,,,2,63,92,23,68
"De 50 y más años (049)",335,2,11,58,110,58,6,90
