"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANDAHUAYLAS (000)",42292,1332,13513,15439,9575,2433
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",96,,11,48,35,2
"Profes., científicos e intelectuales (002)",3989,,780,2329,861,19
"Técnicos de nivel medio y trab. asimilados (003)",869,1,285,399,158,26
"Jefes y empleados de oficina (004)",903,,354,356,184,9
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3989,124,1364,1540,797,164
"Agricult. trabaj. calif.agrop. y pesqueros (006)",10213,27,2356,3672,3028,1130
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1690,41,744,562,293,50
"Obreros construc., conf., papel, fab., instr. (008)",2150,10,794,898,407,41
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",17122,1118,6396,5144,3547,917
"Otra (010)",238,,75,126,37,
"Ocupación no especificada (011)",1033,11,354,365,228,75
"Hombres (012)",28173,795,8906,10191,6577,1704
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",79,,9,38,30,2
"Profes., científicos e intelectuales (014)",2123,,321,1250,536,16
"Técnicos de nivel medio y trab. asimilados (015)",529,1,183,227,99,19
"Jefes y empleados de oficina (016)",521,,165,216,131,9
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1359,59,480,490,270,60
"Agricult. trabaj. calif.agrop. y pesqueros (018)",8498,20,1982,3130,2473,893
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1398,30,617,460,250,41
"Obreros construc., conf., papel, fab., instr. (020)",2101,10,775,876,399,41
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",10838,667,4122,3206,2252,591
"Otra (022)",228,,67,124,37,
"Ocupación no especificada (023)",499,8,185,174,100,32
"Mujeres (024)",14119,537,4607,5248,2998,729
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",17,,2,10,5,
"Profes., científicos e intelectuales (026)",1866,,459,1079,325,3
"Técnicos de nivel medio y trab. asimilados (027)",340,,102,172,59,7
"Jefes y empleados de oficina (028)",382,,189,140,53,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2630,65,884,1050,527,104
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1715,7,374,542,555,237
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",292,11,127,102,43,9
"Obreros construc., conf., papel, fab., instr. (032)",49,,19,22,8,
