"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAMANA (000)",52061,43808,8253
"Casa independiente (001)",46744,41576,5168
"Departamento en edificio (002)",782,782,
"Vivienda en quinta (003)",372,372,
"Vivienda en casa de vecindad (004)",629,629,
"Choza o cabaña (005)",3054,,3054
"Vivienda improvisada (006)",367,367,
"Local no dest.para hab. humana (007)",40,31,9
"Otro tipo (008)",73,51,22
