"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCAVELICA (000)",141005,58144,82861
"Casa independiente (001)",126663,49531,77132
"Departamento en edificio (002)",330,330,
"Vivienda en quinta (003)",1652,1652,
"Vivienda en casa de vecindad (004)",6410,6410,
"Choza o cabaña (005)",5706,,5706
"Vivienda improvisada (006)",57,57,
"Local no dest.para hab. humana (007)",174,152,22
"Otro tipo (008)",13,12,1
