"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUARMEY (000)",501,72,429
"Sin nivel (001)",12,3,9
"Educación inicial (002)",1,,1
"Primaria (003)",98,5,93
"Secundaria (004)",245,44,201
"Superior no univ. incompleta (005)",35,2,33
"Superior no univ. completa (006)",41,5,36
"Superior univ. incompleta (007)",28,3,25
"Superior univ. completa (008)",41,10,31
"Hombres (010)",351,40,311
"Sin nivel (011)",5,1,4
"Educación inicial (012)",1,,1
"Primaria (013)",70,2,68
"Secundaria (014)",186,29,157
"Superior no univ. incompleta (015)",25,,25
"Superior no univ. completa (016)",24,3,21
"Superior univ. incompleta (017)",17,1,16
"Superior univ. completa (018)",23,4,19
"Mujeres (020)",150,32,118
"Sin nivel (021)",7,2,5
"Primaria (023)",28,3,25
"Secundaria (024)",59,15,44
"Superior no univ. incompleta (025)",10,2,8
"Superior no univ. completa (026)",17,2,15
"Superior univ. incompleta (027)",11,2,9
"Superior univ. completa (028)",18,6,12
,,,
"AREA URBANA (030)",407,56,351
"Sin nivel (031)",12,3,9
"Educación inicial (032)",1,,1
"Primaria (033)",65,1,64
"Secundaria (034)",194,35,159
"Superior no univ. incompleta (035)",32,2,30
"Superior no univ. completa (036)",39,4,35
"Superior univ. incompleta (037)",28,3,25
"Superior univ. completa (038)",36,8,28
"Hombres (040)",277,29,248
"Sin nivel (041)",5,1,4
"Educación inicial (042)",1,,1
"Primaria (043)",46,1,45
"Secundaria (044)",144,20,124
"Superior no univ. incompleta (045)",22,,22
"Superior no univ. completa (046)",22,2,20
"Superior univ. incompleta (047)",17,1,16
"Superior univ. completa (048)",20,4,16
"Mujeres (050)",130,27,103
"Sin nivel (051)",7,2,5
"Primaria (053)",19,,19
"Secundaria (054)",50,15,35
"Superior no univ. incompleta (055)",10,2,8
"Superior no univ. completa (056)",17,2,15
"Superior univ. incompleta (057)",11,2,9
"Superior univ. completa (058)",16,4,12
,,,
"AREA RURAL (060)",94,16,78
"Primaria (063)",33,4,29
"Secundaria (064)",51,9,42
"Superior no univ. incompleta (065)",3,,3
"Superior no univ. completa (066)",2,1,1
"Superior univ. completa (068)",5,2,3
"Hombres (070)",74,11,63
"Primaria (073)",24,1,23
"Secundaria (074)",42,9,33
"Superior no univ. incompleta (075)",3,,3
"Superior no univ. completa (076)",2,1,1
"Superior univ. completa (078)",3,,3
"Mujeres (080)",20,5,15
"Primaria (083)",9,3,6
"Secundaria (084)",9,,9
"Superior univ. completa (088)",2,2,
