"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHACHAPOYAS (000)",18809,935,16,8086,4587,647,2436,502,1600
"Agric., ganadería, caza y silvicultura (001)",7970,696,10,5502,1534,66,85,23,54
"Pesca (002)",1,,,,1,,,,
"Explotación de minas y canteras (003)",31,,,16,10,,3,1,1
"Industrias manufactureras (004)",799,21,1,326,299,39,55,21,37
"Suministro de electricidad, gas y agua (005)",48,,,6,12,1,15,2,12
"Construcción (006)",1114,17,,446,457,49,55,19,71
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2250,66,,759,827,124,289,85,100
"Venta, mant.y rep. veh.autom.y motoc. (008)",218,1,,33,89,22,56,10,7
"Comercio al por mayor (009)",158,1,,42,71,4,18,5,17
"Comercio al por menor (010)",1874,64,,684,667,98,215,70,76
"Hoteles y restaurantes (011)",621,20,2,211,252,31,54,32,19
"Trans., almac. y comunicaciones (012)",707,5,1,133,346,37,111,36,38
"Intermediación financiera (013)",70,,,,5,5,24,5,31
"Activid.inmobil., empres. y de alquiler (014)",497,2,,30,92,45,131,36,161
"Admin.pub. y defensa; p. segur.soc.afil (015)",1204,2,,61,243,72,422,98,306
"Enseñanza (016)",1590,,,2,67,86,895,54,486
"Servicios sociales y de salud (017)",447,,,1,15,24,157,43,207
"Otras activ. serv.comun.soc y personales (018)",448,23,,117,111,31,74,34,58
"Hogares privados con servicio doméstico (019)",688,56,,349,238,24,18,2,1
"Actividad economica no especificada (021)",324,27,2,127,78,13,48,11,18
"Hombres (022)",12213,447,8,5643,3266,402,1174,297,976
"Agric., ganadería, caza y silvicultura (023)",6408,406,6,4457,1344,55,70,23,47
"Pesca (024)",1,,,,1,,,,
"Explotación de minas y canteras (025)",30,,,16,10,,2,1,1
"Industrias manufactureras (026)",539,4,,186,240,32,38,15,24
"Suministro de electricidad, gas y agua (027)",41,,,6,11,1,11,1,11
"Construcción (028)",1092,17,,437,451,49,50,19,69
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1013,10,,268,421,69,135,46,64
"Venta, mant.y rep. veh.autom.y motoc. (030)",202,1,,31,83,21,52,8,6
"Comercio al por mayor (031)",99,1,,24,47,3,8,4,12
"Comercio al por menor (032)",712,8,,213,291,45,75,34,46
"Hoteles y restaurantes (033)",139,,1,19,72,9,19,12,7
"Trans., almac. y comunicaciones (034)",626,5,1,131,317,32,85,28,27
"Intermediación financiera (035)",34,,,,3,2,10,4,15
"Activid.inmobil., empres. y de alquiler (036)",338,,,18,74,32,64,23,127
"Admin.pub. y defensa; p. segur.soc.afil (037)",797,1,,51,195,54,221,61,214
"Enseñanza (038)",689,,,1,25,29,379,22,233
"Servicios sociales y de salud (039)",169,,,,9,10,43,14,93
"Otras activ. serv.comun.soc y personales (040)",198,2,,25,56,22,34,23,36
"Hogares privados con servicio doméstico (041)",21,1,,9,8,1,1,1,
"Actividad economica no especificada (043)",78,1,,19,29,5,12,4,8
"Mujeres (044)",6596,488,8,2443,1321,245,1262,205,624
