"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SIHUAS (000)",7658,7365,21,1206,1145,1107,1864,1324,543,155,293,29754
"De 12 a 14 años (001)",11,4,,3,1,,,,,,7,5
"De 15 a 19 años (002)",210,181,3,162,12,3,1,,,,29,199
"De 20 a 24 años (003)",801,694,4,395,209,62,23,1,,,107,1104
"De 25 a 29 años (004)",720,670,1,213,215,165,75,1,,,50,1462
"De 30 a 34 años (005)",877,850,,129,218,225,218,56,3,1,27,2579
"De 35 a 39 años (006)",891,872,,68,140,176,337,118,28,5,19,3374
"De 40 a 44 años (007)",839,829,1,24,83,129,311,204,72,5,10,3917
"De 45 a 49 años (008)",711,705,2,38,59,90,197,211,83,25,6,3631
"De 50 y más años (009)",2598,2560,10,174,208,257,702,733,357,119,38,13483
"Sin nivel (010)",3562,3494,10,280,378,459,989,887,381,110,68,16865
"De 15 a 19 años (012)",17,16,,14,,2,,,,,1,20
"De 20 a 24 años (013)",110,103,,48,33,15,7,,,,7,189
"De 25 a 29 años (014)",142,128,,26,37,43,22,,,,14,324
"De 30 a 34 años (015)",283,277,,20,57,81,85,31,2,1,6,974
"De 35 a 39 años (016)",340,333,,18,46,49,142,55,19,4,7,1424
"De 40 a 44 años (017)",352,348,,9,24,33,128,110,41,3,4,1805
"De 45 a 49 años (018)",379,377,1,22,27,42,85,134,51,15,2,2034
"De 50 y más años (019)",1939,1912,9,123,154,194,520,557,268,87,27,10095
"Educacion Inicial (020)",19,17,,3,4,5,4,1,,,2,51
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",1,,,,,,,,,,1,
"De 20 a 24 años (023)",4,4,,,1,2,1,,,,,13
