"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ATALAYA (000)",9398,42896,3214,14435,6184,28461
"Casa independiente (001)",4473,20250,2935,13426,1538,6824
"Departamento en edificio (002)",6,19,6,19,,
"Vivienda en quinta (003)",154,585,154,585,,
"Vivienda en casa de vecindad (004)",67,206,67,206,,
"Choza o cabaña (005)",4625,21537,,,4625,21537
"Vivienda improvisada (006)",47,189,47,189,,
"Local no dest.para hab. humana (007)",5,17,3,8,2,9
"Otro tipo (008)",21,93,2,2,19,91
