"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAYLLOMA (000)",27549,16609,10940
"Casa independiente (001)",21099,13591,7508
"Departamento en edificio (002)",100,100,
"Vivienda en quinta (003)",174,174,
"Vivienda en casa de vecindad (004)",584,584,
"Choza o cabaña (005)",3421,,3421
"Vivienda improvisada (006)",2124,2124,
"Local no dest.para hab. humana (007)",39,31,8
"Otro tipo (008)",8,5,3
