"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SATIPO (000)",162781,45464,57794,34810,19758,4955
"Sin nivel (001)",14718,1963,2281,3669,4583,2222
"Educación inicial (002)",2570,2445,81,44,,
"Primaria (003)",75894,34746,15391,14387,9225,2145
"Secundaria (004)",57523,6310,34147,12243,4359,464
"Superior no univ. incompleta (005)",3428,,2355,808,251,14
"Superior no univ. completa (006)",2855,,1236,1235,365,19
"Superior univ. incompleta (007)",2136,,1276,607,231,22
"Superior univ. completa (008)",3657,,1027,1817,744,69
"PEA (010)",72018,2057,30301,23843,13424,2393
"Sin nivel (011)",6072,224,1130,1787,2197,734
"Educación inicial (012)",87,27,41,19,,
"Primaria (013)",26521,1411,8356,9026,6418,1310
"Secundaria (014)",30558,395,17365,9122,3398,278
"Superior no univ. incompleta (015)",1946,,1058,665,212,11
"Superior no univ. completa (016)",2296,,912,1060,315,9
"Superior univ. incompleta (017)",1327,,592,507,210,18
"Superior univ. completa (018)",3211,,847,1657,674,33
"Ocupada (020)",70150,1983,29093,23455,13253,2366
"Sin nivel (021)",5982,202,1111,1769,2174,726
"Educación inicial (022)",86,27,40,19,,
"Primaria (023)",26054,1376,8155,8894,6334,1295
"Secundaria (024)",29486,378,16552,8935,3346,275
"Superior no univ. incompleta (025)",1848,,982,645,211,10
"Superior no univ. completa (026)",2230,,867,1042,312,9
"Superior univ. incompleta (027)",1297,,569,502,208,18
"Superior univ. completa (028)",3167,,817,1649,668,33
