"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MELGAR (000)",24305,20154,1153,748,2250
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",52,,3,8,41
"Profes., científicos e intelectuales (002)",1587,265,234,248,840
"Técnicos de nivel medio y trab. asimilados (003)",520,190,61,43,226
"Jefes y empleados de oficina (004)",476,63,24,29,360
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2209,2015,93,36,65
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7155,7022,129,1,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1319,906,119,98,196
"Obreros construc.,conf.,papel, fab., instr. (008)",1538,1213,126,98,101
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8755,7976,301,154,324
"Otra (010)",70,,,,70
"Ocupación no especificada (011)",624,504,63,33,24
"Hombres (012)",14281,11286,823,586,1586
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",41,,1,6,34
"Profes., científicos e intelectuales (014)",1044,186,163,172,523
"Técnicos de nivel medio y trab. asimilados (015)",378,153,54,31,140
"Jefes y empleados de oficina (016)",266,35,13,20,198
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",722,589,52,29,52
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5199,5093,102,1,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1054,679,94,88,193
"Obreros construc.,conf.,papel, fab., instr. (020)",1496,1184,123,92,97
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3694,3139,173,121,261
"Otra (022)",67,,,,67
"Ocupación no especificada (023)",320,228,48,26,18
"Mujeres (024)",10024,8868,330,162,664
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,,2,2,7
"Profes., científicos e intelectuales (026)",543,79,71,76,317
"Técnicos de nivel medio y trab. asimilados (027)",142,37,7,12,86
"Jefes y empleados de oficina (028)",210,28,11,9,162
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1487,1426,41,7,13
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1956,1929,27,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",265,227,25,10,3
"Obreros construc.,conf.,papel, fab., instr. (032)",42,29,3,6,4
