"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia TARMA (000)",42396,68,3015,1330,830,4825,12258,2712,3652,12681,106,919
"Agric., ganadería, caza y silvicultura (001)",20495,,15,5,3,,12255,4,8,8205,,
"Pesca (002)",4,,,,,,3,,,1,,
"Explotación de minas y canteras (003)",328,4,19,15,8,2,,143,15,122,,
"Industrias manufactureras (004)",2424,2,40,95,46,19,,1757,389,76,,
"Suministro de electricidad, gas y agua (005)",49,,3,9,10,,,9,3,15,,
"Construcción (006)",1362,,30,59,4,,,99,884,286,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6585,2,92,307,31,3761,,654,62,1676,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",798,1,17,50,7,113,,546,49,15,,
"Comercio al por mayor (009)",296,,16,43,9,208,,1,1,18,,
"Comercio al por menor (010)",5491,1,59,214,15,3440,,107,12,1643,,
"Hoteles y restaurantes (011)",1439,1,33,67,29,692,,,,617,,
"Trans., almac. y comunicaciones (012)",2860,2,23,71,74,11,,9,2219,451,,
"Intermediación financiera (013)",114,,10,27,74,,,,,3,,
"Activid.inmobil., empres. y alquileres (014)",1011,,277,229,166,140,,22,27,150,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",663,35,67,39,239,28,,1,34,114,106,
"Enseñanza (016)",2016,18,1909,14,50,,,1,1,23,,
"Servicios sociales y de salud (017)",653,,359,197,38,20,,8,7,24,,
"Otras activ. serv.comun.soc y personales (018)",824,3,136,195,32,152,,5,3,298,,
"Hogares privados con servicio doméstico (019)",614,,,,,,,,,614,,
"Actividad economica no especificada (021)",955,1,2,1,26,,,,,6,,919
"Hombres (022)",28418,49,1519,865,401,1839,10338,2215,3489,7265,98,340
"Agric., ganadería, caza y silvicultura (023)",15677,,12,5,1,,10335,4,7,5313,,
"Pesca (024)",4,,,,,,3,,,1,,
"Explotación de minas y canteras (025)",317,4,15,15,5,2,,142,15,119,,
"Industrias manufactureras (026)",1806,,34,79,33,13,,1290,297,60,,
"Suministro de electricidad, gas y agua (027)",42,,1,9,6,,,9,3,14,,
"Construcción (028)",1314,,28,56,2,,,95,859,274,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2998,1,51,215,14,1402,,635,60,620,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",727,,13,44,3,70,,536,47,14,,
"Comercio al por mayor (031)",156,,9,26,4,102,,,1,14,,
"Comercio al por menor (032)",2115,1,29,145,7,1230,,99,12,592,,
"Hoteles y restaurantes (033)",428,1,19,25,12,219,,,,152,,
"Trans., almac. y comunicaciones (034)",2696,1,17,53,36,9,,8,2192,380,,
"Intermediación financiera (035)",60,,6,15,36,,,,,3,,
"Activid.inmobil., empres. y alquileres (036)",726,,195,162,74,135,,20,27,113,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",455,26,44,23,132,27,,1,20,84,98,
"Enseñanza (038)",921,12,859,6,23,,,1,1,19,,
"Servicios sociales y de salud (039)",198,,112,43,17,7,,5,5,9,,
"Otras activ. serv.comun.soc y personales (040)",389,3,124,159,7,25,,5,3,63,,
"Hogares privados con servicio doméstico (041)",36,,,,,,,,,36,,
"Actividad economica no especificada (043)",351,1,2,,3,,,,,5,,340
"Mujeres (044)",13978,19,1496,465,429,2986,1920,497,163,5416,8,579
"Agric., ganadería, caza y silvicultura (045)",4818,,3,,2,,1920,,1,2892,,
"Explotación de minas y canteras (047)",11,,4,,3,,,1,,3,,
"Industrias manufactureras (048)",618,2,6,16,13,6,,467,92,16,,
"Suministro de electricidad, gas y agua (049)",7,,2,,4,,,,,1,,
"Construcción (050)",48,,2,3,2,,,4,25,12,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",3587,1,41,92,17,2359,,19,2,1056,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",71,1,4,6,4,43,,10,2,1,,
"Comercio al por mayor (053)",140,,7,17,5,106,,1,,4,,
"Comercio al por menor (054)",3376,,30,69,8,2210,,8,,1051,,
"Hoteles y restaurantes (055)",1011,,14,42,17,473,,,,465,,
"Trans., almac. y comunicaciones (056)",164,1,6,18,38,2,,1,27,71,,
"Intermediación financiera (057)",54,,4,12,38,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",285,,82,67,92,5,,2,,37,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",208,9,23,16,107,1,,,14,30,8,
"Enseñanza (060)",1095,6,1050,8,27,,,,,4,,
"Servicios sociales y de salud (061)",455,,247,154,21,13,,3,2,15,,
"Otras activ. serv.comun.soc y personales (062)",435,,12,36,25,127,,,,235,,
"Hogares privados con servicio doméstico (063)",578,,,,,,,,,578,,
"Actividad economica no especificada (065)",604,,,1,23,,,,,1,,579
,,,,,,,,,,,,
"URBANA (066)",27557,64,2800,1211,779,4311,4922,2426,2986,7291,101,666
"Agric., ganadería, caza y silvicultura (067)",8253,,12,3,2,,4922,3,7,3304,,
