"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia SATIPO (000)",102182,81149,21033
"De 3 a 5 años (001)",15875,849,15026
"De 6 a 11 años (002)",31240,26861,4379
"De 12 a 16 años (003)",22343,21921,422
"De 17 a 24 años (004)",32724,31518,1206
"Hombres (005)",53738,43088,10650
"De 3 a 5 años (006)",8129,429,7700
"De 6 a 11 años (007)",15947,13652,2295
"De 12 a 16 años (008)",11776,11587,189
"De 17 a 24 años (009)",17886,17420,466
"Mujeres (010)",48444,38061,10383
"De 3 a 5 años (011)",7746,420,7326
"De 6 a 11 años (012)",15293,13209,2084
"De 12 a 16 años (013)",10567,10334,233
"De 17 a 24 años (014)",14838,14098,740
,,,
"URBANA (015)",26659,22852,3807
"De 3 a 5 años (016)",3360,274,3086
"De 6 a 11 años (017)",7483,6903,580
"De 12 a 16 años (018)",6629,6575,54
"De 17 a 24 años (019)",9187,9100,87
"Hombres (020)",13567,11594,1973
"De 3 a 5 años (021)",1750,138,1612
"De 6 a 11 años (022)",3713,3409,304
"De 12 a 16 años (023)",3364,3341,23
"De 17 a 24 años (024)",4740,4706,34
"Mujeres (025)",13092,11258,1834
"De 3 a 5 años (026)",1610,136,1474
"De 6 a 11 años (027)",3770,3494,276
"De 12 a 16 años (028)",3265,3234,31
"De 17 a 24 años (029)",4447,4394,53
,,,
"RURAL (030)",75523,58297,17226
"De 3 a 5 años (031)",12515,575,11940
"De 6 a 11 años (032)",23757,19958,3799
"De 12 a 16 años (033)",15714,15346,368
"De 17 a 24 años (034)",23537,22418,1119
"Hombres (035)",40171,31494,8677
"De 3 a 5 años (036)",6379,291,6088
"De 6 a 11 años (037)",12234,10243,1991
"De 12 a 16 años (038)",8412,8246,166
"De 17 a 24 años (039)",13146,12714,432
"Mujeres (040)",35352,26803,8549
"De 3 a 5 años (041)",6136,284,5852
"De 6 a 11 años (042)",11523,9715,1808
"De 12 a 16 años (043)",7302,7100,202
"De 17 a 24 años (044)",10391,9704,687
