"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TRUJILLO (000)",228477,209154,1009,54366,54104,38279,37958,15583,5983,1872,19323,612977
"De 12 a 14 años (001)",253,126,21,88,17,,,,,,127,122
"De 15 a 19 años (002)",4455,3812,84,3348,316,48,16,,,,643,4188
"De 20 a 24 años (003)",21813,15832,119,11481,3496,584,118,34,,,5981,20942
"De 25 a 29 años (004)",28330,23003,138,11917,7779,2414,701,42,12,,5327,37977
"De 30 a 34 años (005)",28486,25924,101,8872,9845,4780,2101,202,16,7,2562,53237
"De 35 a 39 años (006)",26652,25259,75,5407,9069,6150,3864,612,74,8,1393,63100
"De 40 a 44 años (007)",24598,23667,75,3716,7413,6003,5013,1179,223,45,931,68054
"De 45 a 49 años (008)",21372,20712,89,2796,5348,5158,5103,1714,428,76,660,66436
"De 50 y más años (009)",72518,70819,307,6741,10821,13142,21042,11800,5230,1736,1699,298921
"Conviviente (010)",72040,70183,409,22154,19791,11769,10526,3856,1325,353,1857,182339
"De 12 a 14 años (011)",168,63,15,40,8,,,,,,105,56
"De 15 a 19 años (012)",3042,2541,64,2223,227,19,8,,,,501,2766
"De 20 a 24 años (013)",10804,10208,75,7039,2572,418,83,21,,,596,13922
"De 25 a 29 años (014)",13406,13123,82,5933,4879,1674,514,34,7,,283,23110
"De 30 a 34 años (015)",12365,12224,43,3281,4854,2653,1253,126,11,3,141,27154
"De 35 a 39 años (016)",9981,9907,30,1563,3212,2622,2042,383,49,6,74,27541
"De 40 a 44 años (017)",7497,7456,27,857,1864,1829,2113,609,138,19,41,24500
"De 45 a 49 años (018)",5375,5352,28,505,1007,1143,1662,759,203,45,23,20250
"De 50 y más años (019)",9402,9309,45,713,1168,1411,2851,1924,917,280,93,43040
