"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUAROCHIRI (000)",32612,346,10407,11337,8005,2517
"Agric., ganadería, caza y silvicultura (001)",11810,223,2898,3316,3528,1845
"Pesca (002)",16,,6,3,5,2
"Explotación de minas y canteras (003)",3931,,1602,1724,589,16
"Industrias manufactureras (004)",1441,4,614,475,284,64
"Suministro de electricidad, gas y agua (005)",92,1,23,42,24,2
"Construcción (006)",1712,3,637,607,410,55
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3758,49,1165,1355,958,231
"Venta, mant.y rep. veh.autom.y motoc. (008)",504,7,194,175,118,10
"Comercio al por mayor (009)",146,2,43,60,34,7
"Comercio al por menor (010)",3108,40,928,1120,806,214
"Hoteles y restaurantes (011)",1403,21,517,445,372,48
"Trans., almac. y comunicaciones (012)",2135,9,834,866,393,33
"Intermediación financiera (013)",35,,12,15,7,1
"Activid.inmobil., empres. y alquileres (014)",871,1,341,341,165,23
"Admin.pub. y defensa; p. segur.soc.afil (015)",876,,243,370,247,16
"Enseñanza (016)",1330,,293,658,358,21
"Servicios sociales y de salud (017)",400,,108,173,106,13
"Otras activ. serv.comun.soc y personales (018)",1186,17,486,426,221,36
"Hogares privados con servicio doméstico (019)",812,16,355,268,149,24
"Actividad economica no especificada (021)",804,2,273,253,189,87
"Hombres (022)",22181,192,7242,7770,5296,1681
"Agric., ganadería, caza y silvicultura (023)",8225,130,2099,2347,2382,1267
"Pesca (024)",12,,4,1,5,2
"Explotación de minas y canteras (025)",3874,,1575,1703,580,16
"Industrias manufactureras (026)",1008,3,423,323,209,50
"Suministro de electricidad, gas y agua (027)",89,1,22,40,24,2
"Construcción (028)",1680,2,622,598,403,55
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1719,28,564,597,413,117
"Venta, mant.y rep. veh.autom.y motoc. (030)",466,7,177,162,111,9
"Comercio al por mayor (031)",76,2,24,27,18,5
"Comercio al por menor (032)",1177,19,363,408,284,103
"Hoteles y restaurantes (033)",415,7,161,116,119,12
"Trans., almac. y comunicaciones (034)",2025,7,778,825,382,33
"Intermediación financiera (035)",26,,8,13,4,1
"Activid.inmobil., empres. y alquileres (036)",632,,237,244,130,21
"Admin.pub. y defensa; p. segur.soc.afil (037)",570,,142,236,179,13
"Enseñanza (038)",532,,86,237,193,16
"Servicios sociales y de salud (039)",124,,19,61,34,10
