"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL CACERES (000)",20469,16916,1633,918,1002
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",43,2,8,10,23
"Profes., científicos e intelectuales (002)",1268,379,207,440,242
"Técnicos de nivel medio y trab. asimilados (003)",536,294,65,68,109
"Jefes y empleados de oficina (004)",565,141,69,86,269
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2056,1900,94,29,33
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7010,6602,390,15,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",980,803,92,49,36
"Obreros construc.,conf.,papel, fab., instr. (008)",1226,1015,106,59,46
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",6141,5340,563,148,90
"Otra (010)",134,,,,134
"Ocupación no especificada (011)",510,440,39,14,17
"Hombres (012)",15061,12543,1263,593,662
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",28,1,3,6,18
"Profes., científicos e intelectuales (014)",663,194,122,225,122
"Técnicos de nivel medio y trab. asimilados (015)",375,215,44,53,63
"Jefes y empleados de oficina (016)",277,51,33,47,146
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",921,818,55,19,29
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6503,6127,358,15,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",844,675,86,47,36
"Obreros construc.,conf.,papel, fab., instr. (020)",1210,1005,105,56,44
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3901,3285,440,116,60
"Otra (022)",130,,,,130
"Ocupación no especificada (023)",209,172,17,9,11
"Mujeres (024)",5408,4373,370,325,340
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",15,1,5,4,5
"Profes., científicos e intelectuales (026)",605,185,85,215,120
"Técnicos de nivel medio y trab. asimilados (027)",161,79,21,15,46
"Jefes y empleados de oficina (028)",288,90,36,39,123
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1135,1082,39,10,4
"Agricult.trabaj.calif.agrop.y pesqueros (030)",507,475,32,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",136,128,6,2,
"Obreros construc.,conf.,papel, fab., instr. (032)",16,10,1,3,2
