"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PIURA (000)",226138,3013,75803,82689,55536,9097
"Agric., ganadería, caza y silvicultura (001)",50898,1168,17396,15869,12415,4050
"Pesca (002)",1488,5,765,532,177,9
"Explotación de minas y canteras (003)",739,1,270,214,251,3
"Industrias manufactureras (004)",16018,222,5586,5661,3895,654
"Suministro de electricidad, gas y agua (005)",878,8,237,336,275,22
"Construcción (006)",12312,53,3744,4922,3188,405
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",46386,834,14793,17245,11676,1838
"Venta, mant.y rep. veh.autom.y motoc. (008)",4456,36,1615,1614,1049,142
"Comercio al por mayor (009)",3019,14,1216,1162,568,59
"Comercio al por menor (010)",38911,784,11962,14469,10059,1637
"Hoteles y restaurantes (011)",10560,201,3635,3613,2733,378
"Trans., almac. y comunicaciones (012)",21763,149,8388,8213,4616,397
"Intermediación financiera (013)",1809,1,718,826,260,4
"Activid.inmobil., empres. y alquileres (014)",13643,30,4981,5426,2950,256
"Admin.pub. y defensa; p. segur.soc.afil (015)",8074,,1990,3367,2599,118
"Enseñanza (016)",15081,1,3193,7016,4683,188
"Servicios sociales y de salud (017)",5147,,1242,2331,1486,88
"Otras activ. serv.comun.soc y personales (018)",7148,119,2392,2610,1754,273
"Hogares privados con servicio doméstico (019)",7800,192,4150,2213,1138,107
"Organiz. y organos extraterritoriales (020)",2,,2,,,
"Actividad economica no especificada (021)",6392,29,2321,2295,1440,307
"Hombres (022)",153613,2194,51232,54497,38436,7254
"Agric., ganadería, caza y silvicultura (023)",47262,1009,16105,14716,11595,3837
"Pesca (024)",1348,5,698,478,159,8
"Explotación de minas y canteras (025)",662,1,231,190,237,3
"Industrias manufactureras (026)",10819,143,3944,3700,2536,496
"Suministro de electricidad, gas y agua (027)",773,6,205,292,248,22
"Construcción (028)",11952,53,3617,4753,3130,399
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",26075,597,8564,9330,6478,1106
"Venta, mant.y rep. veh.autom.y motoc. (030)",4134,35,1471,1490,1002,136
"Comercio al por mayor (031)",1921,13,754,738,379,37
"Comercio al por menor (032)",20020,549,6339,7102,5097,933
"Hoteles y restaurantes (033)",3361,89,1476,1040,649,107
"Trans., almac. y comunicaciones (034)",20507,143,7745,7801,4425,393
"Intermediación financiera (035)",1004,1,336,488,175,4
