"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PUNO (000)",66374,225215,36907,133064,29467,92151
"Casa independiente (001)",59698,205065,34120,124595,25578,80470
"Departamento en edificio (002)",1086,3349,1086,3349,,
"Vivienda en quinta (003)",320,1028,320,1028,,
"Vivienda en casa de vecindad (004)",1329,3952,1329,3952,,
"Choza o cabaña (005)",3882,11663,,,3882,11663
"Vivienda improvisada (006)",17,55,17,55,,
"Local no dest.para hab. humana (007)",32,77,28,68,4,9
"Otro tipo (008)",10,26,7,17,3,9
