"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",33372,1100,11545,11420,7855,1452
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",49,,4,25,19,1
"Profes., científicos e intelectuales (002)",2333,,414,1284,615,20
"Técnicos de nivel medio y trab. asimilados (003)",928,2,350,381,179,16
"Jefes y empleados de oficina (004)",842,,334,291,211,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3343,71,1158,1182,788,144
"Agricult. trabaj. calif.agrop. y pesqueros (006)",9802,2,2469,3486,3013,832
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1343,32,479,451,335,46
"Obreros construc., conf., papel, fab., instr. (008)",2305,12,1026,812,430,25
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",11280,957,4864,3144,1997,318
"Otra (010)",72,,29,33,10,
"Ocupación no especificada (011)",1075,24,418,331,258,44
"Hombres (012)",23727,759,8258,8027,5600,1083
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",36,,3,17,15,1
"Profes., científicos e intelectuales (014)",1387,,241,746,385,15
"Técnicos de nivel medio y trab. asimilados (015)",631,1,249,242,126,13
"Jefes y empleados de oficina (016)",394,,123,143,122,6
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1438,39,523,480,320,76
"Agricult. trabaj. calif.agrop. y pesqueros (018)",8983,2,2238,3266,2745,732
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1115,32,432,353,262,36
"Obreros construc., conf., papel, fab., instr. (020)",2255,12,1002,797,419,25
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",6774,655,3183,1748,1030,158
"Otra (022)",70,,27,33,10,
"Ocupación no especificada (023)",644,18,237,202,166,21
"Mujeres (024)",9645,341,3287,3393,2255,369
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",13,,1,8,4,
"Profes., científicos e intelectuales (026)",946,,173,538,230,5
"Técnicos de nivel medio y trab. asimilados (027)",297,1,101,139,53,3
"Jefes y empleados de oficina (028)",448,,211,148,89,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1905,32,635,702,468,68
"Agricult. trabaj. calif.agrop. y pesqueros (030)",819,,231,220,268,100
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",228,,47,98,73,10
"Obreros construc., conf., papel, fab., instr. (032)",50,,24,15,11,
