"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PICOTA (000)",14442,503,4897,5093,3241,708
"Agric., ganadería, caza y silvicultura (001)",9277,396,3216,2947,2139,579
"Pesca (002)",4,,1,2,1,
"Explotación de minas y canteras (003)",2,,,,2,
"Industrias manufactureras (004)",410,9,136,168,82,15
"Suministro de electricidad, gas y agua (005)",26,1,7,9,9,
"Construcción (006)",396,2,121,177,92,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1292,46,394,538,272,42
"Venta, mant.y rep. veh.autom.y motoc. (008)",138,4,54,49,29,2
"Comercio al por mayor (009)",58,,17,23,16,2
"Comercio al por menor (010)",1096,42,323,466,227,38
"Hoteles y restaurantes (011)",458,16,145,175,118,4
"Trans., almac. y comunicaciones (012)",530,2,228,200,98,2
"Intermediación financiera (013)",2,,,2,,
"Activid.inmobil., empres. y alquileres (014)",134,1,47,51,33,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",248,,79,106,62,1
"Enseñanza (016)",472,,65,295,112,
"Servicios sociales y de salud (017)",118,,31,66,21,
"Otras activ. serv.comun.soc y personales (018)",121,2,41,47,23,8
"Hogares privados con servicio doméstico (019)",546,24,241,161,94,26
"Actividad economica no especificada (021)",406,4,145,149,83,25
"Hombres (022)",11004,390,3724,3803,2527,560
"Agric., ganadería, caza y silvicultura (023)",8048,338,2791,2559,1858,502
"Pesca (024)",4,,1,2,1,
"Explotación de minas y canteras (025)",1,,,,1,
"Industrias manufactureras (026)",328,9,115,135,62,7
"Suministro de electricidad, gas y agua (027)",24,,6,9,9,
"Construcción (028)",388,2,119,173,90,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",741,29,220,296,170,26
"Venta, mant.y rep. veh.autom.y motoc. (030)",128,4,48,46,28,2
"Comercio al por mayor (031)",37,,9,13,14,1
"Comercio al por menor (032)",576,25,163,237,128,23
"Hoteles y restaurantes (033)",64,3,19,21,20,1
"Trans., almac. y comunicaciones (034)",514,1,218,195,98,2
"Activid.inmobil., empres. y alquileres (036)",103,1,34,38,29,1
"Admin.pub. y defensa; p. segur.soc.afil (037)",183,,51,76,55,1
"Enseñanza (038)",269,,24,172,73,
"Servicios sociales y de salud (039)",63,,16,34,13,
"Otras activ. serv.comun.soc y personales (040)",61,,21,24,10,6
"Hogares privados con servicio doméstico (041)",23,5,10,4,2,2
