"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ANTA (000)",51955,2403,6518,7890,5623,7074,6561,11377,4509
"Sabe leer y escribir (001)",41413,,5076,7822,5562,6784,5955,8475,1739
"No sabe leer y escribir (002)",10542,2403,1442,68,61,290,606,2902,2770
"Hombres (004)",26158,1255,3363,4138,3012,3510,3157,5659,2064
"Sabe leer y escribir (005)",22398,,2609,4098,2987,3417,3021,4998,1268
"No sabe leer y escribir (006)",3760,1255,754,40,25,93,136,661,796
"Mujeres (008)",25797,1148,3155,3752,2611,3564,3404,5718,2445
"Sabe leer y escribir (009)",19015,,2467,3724,2575,3367,2934,3477,471
"No sabe leer y escribir (010)",6782,1148,688,28,36,197,470,2241,1974
,,,,,,,,,
"URBANA (012)",18382,814,2185,2764,2016,2668,2475,3915,1545
"Sabe leer y escribir (013)",15564,,1783,2743,2002,2605,2345,3272,814
"No sabe leer y escribir (014)",2818,814,402,21,14,63,130,643,731
"Hombres (016)",9102,442,1098,1433,1072,1285,1141,1945,686
"Sabe leer y escribir (017)",8139,,902,1424,1067,1270,1112,1824,540
"No sabe leer y escribir (018)",963,442,196,9,5,15,29,121,146
"Mujeres (020)",9280,372,1087,1331,944,1383,1334,1970,859
"Sabe leer y escribir (021)",7425,,881,1319,935,1335,1233,1448,274
"No sabe leer y escribir (022)",1855,372,206,12,9,48,101,522,585
,,,,,,,,,
"RURAL (024)",33573,1589,4333,5126,3607,4406,4086,7462,2964
"Sabe leer y escribir (025)",25849,,3293,5079,3560,4179,3610,5203,925
"No sabe leer y escribir (026)",7724,1589,1040,47,47,227,476,2259,2039
"Hombres (028)",17056,813,2265,2705,1940,2225,2016,3714,1378
"Sabe leer y escribir (029)",14259,,1707,2674,1920,2147,1909,3174,728
"No sabe leer y escribir (030)",2797,813,558,31,20,78,107,540,650
"Mujeres (032)",16517,776,2068,2421,1667,2181,2070,3748,1586
"Sabe leer y escribir (033)",11590,,1586,2405,1640,2032,1701,2029,197
"No sabe leer y escribir (034)",4927,776,482,16,27,149,369,1719,1389
