"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia YUNGUYO (000)",13233,47148,4466,17145,8767,30003
"Casa independiente (001)",12997,46455,4422,16981,8575,29474
"Departamento en edificio (002)",8,32,8,32,,
"Vivienda en quinta (003)",17,61,17,61,,
"Vivienda en casa de vecindad (004)",12,58,12,58,,
"Choza o cabaña (005)",191,527,,,191,527
"Local no dest.para hab. humana (007)",6,11,5,9,1,2
"Otro tipo (008)",2,4,2,4,,
