"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LAMPA (000)",36812,5546,7166,7215,5628,4266,6991
"Conviviente (001)",8216,115,1980,3434,1684,615,388
"Separado(a) (002)",830,4,90,193,193,157,193
"Casado(a) (003)",11886,12,157,1547,2964,2916,4290
"Viudo(a) (004)",2214,,5,52,154,261,1742
"Divorciado(a) (005)",113,,3,9,32,19,50
"Soltero(a) (006)",13553,5415,4931,1980,601,298,328
"Hombres (008)",18308,2851,3578,3776,2738,2067,3298
"Conviviente (009)",4098,46,719,1827,950,348,208
"Separado(a) (010)",138,2,3,25,37,37,34
"Casado(a) (011)",6032,7,53,704,1407,1485,2376
"Viudo(a) (012)",667,,1,10,37,72,547
"Divorciado(a) (013)",45,,,1,16,10,18
"Soltero(a) (014)",7328,2796,2802,1209,291,115,115
"Mujeres (016)",18504,2695,3588,3439,2890,2199,3693
"Conviviente (017)",4118,69,1261,1607,734,267,180
"Separado(a) (018)",692,2,87,168,156,120,159
"Casado(a) (019)",5854,5,104,843,1557,1431,1914
"Viudo(a) (020)",1547,,4,42,117,189,1195
"Divorciado(a) (021)",68,,3,8,16,9,32
"Soltero(a) (022)",6225,2619,2129,771,310,183,213
,,,,,,,
"URBANA (024)",14185,2288,3069,2977,2239,1512,2100
"Conviviente (025)",3502,70,860,1520,701,218,133
"Separado(a) (026)",337,4,38,81,79,54,81
"Casado(a) (027)",4084,7,61,565,1177,1031,1243
"Viudo(a) (028)",681,,3,13,53,91,521
"Divorciado(a) (029)",40,,1,3,10,6,20
"Soltero(a) (030)",5541,2207,2106,795,219,112,102
"Hombres (032)",6946,1155,1509,1483,1052,743,1004
"Conviviente (033)",1657,30,291,749,377,136,74
"Separado(a) (034)",54,2,1,12,11,11,17
"Casado(a) (035)",2038,4,22,233,532,525,722
"Viudo(a) (036)",191,,,2,13,25,151
"Divorciado(a) (037)",16,,,,5,3,8
"Soltero(a) (038)",2990,1119,1195,487,114,43,32
"Mujeres (040)",7239,1133,1560,1494,1187,769,1096
"Conviviente (041)",1845,40,569,771,324,82,59
"Separado(a) (042)",283,2,37,69,68,43,64
"Casado(a) (043)",2046,3,39,332,645,506,521
"Viudo(a) (044)",490,,3,11,40,66,370
"Divorciado(a) (045)",24,,1,3,5,3,12
"Soltero(a) (046)",2551,1088,911,308,105,69,70
,,,,,,,
"RURAL (048)",22627,3258,4097,4238,3389,2754,4891
"Conviviente (049)",4714,45,1120,1914,983,397,255
"Separado(a) (050)",493,,52,112,114,103,112
"Casado(a) (051)",7802,5,96,982,1787,1885,3047
"Viudo(a) (052)",1533,,2,39,101,170,1221
"Divorciado(a) (053)",73,,2,6,22,13,30
"Soltero(a) (054)",8012,3208,2825,1185,382,186,226
"Hombres (056)",11362,1696,2069,2293,1686,1324,2294
"Conviviente (057)",2441,16,428,1078,573,212,134
"Separado(a) (058)",84,,2,13,26,26,17
"Casado(a) (059)",3994,3,31,471,875,960,1654
"Viudo(a) (060)",476,,1,8,24,47,396
"Divorciado(a) (061)",29,,,1,11,7,10
"Soltero(a) (062)",4338,1677,1607,722,177,72,83
"Mujeres (064)",11265,1562,2028,1945,1703,1430,2597
"Conviviente (065)",2273,29,692,836,410,185,121
"Separado(a) (066)",409,,50,99,88,77,95
"Casado(a) (067)",3808,2,65,511,912,925,1393
"Viudo(a) (068)",1057,,1,31,77,123,825
"Divorciado(a) (069)",44,,2,5,11,6,20
"Soltero(a) (070)",3674,1531,1218,463,205,114,143
