"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LEONCIO PRADO (000)",44205,1141,15369,15333,10340,2022
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",64,,7,27,28,2
"Profes., científicos e intelectuales (002)",2581,,553,1300,686,42
"Técnicos de nivel medio y trab. asimilados (003)",1351,2,496,506,324,23
"Jefes y empleados de oficina (004)",1139,,503,405,224,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",5952,53,1964,2288,1424,223
"Agricult. trabaj. calif.agrop. y pesqueros (006)",12001,,2937,4427,3559,1078
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",2113,35,769,680,551,78
"Obreros construc., conf., papel, fab., instr. (008)",3453,7,1174,1376,838,58
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",13955,1037,6415,3714,2333,456
"Otra (010)",573,,200,261,112,
"Ocupación no especificada (011)",1023,7,351,349,261,55
"Hombres (012)",31965,857,11349,10702,7458,1599
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",46,,4,18,22,2
"Profes., científicos e intelectuales (014)",1405,,289,662,420,34
"Técnicos de nivel medio y trab. asimilados (015)",893,,327,319,228,19
"Jefes y empleados de oficina (016)",575,,196,219,153,7
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",2589,28,893,925,622,121
"Agricult. trabaj. calif.agrop. y pesqueros (018)",11047,,2752,4125,3199,971
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",1725,31,666,513,447,68
"Obreros construc., conf., papel, fab., instr. (020)",3363,7,1133,1344,822,57
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",9258,787,4726,2154,1293,298
"Otra (022)",556,,188,259,109,
"Ocupación no especificada (023)",508,4,175,164,143,22
"Mujeres (024)",12240,284,4020,4631,2882,423
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",18,,3,9,6,
"Profes., científicos e intelectuales (026)",1176,,264,638,266,8
"Técnicos de nivel medio y trab. asimilados (027)",458,2,169,187,96,4
"Jefes y empleados de oficina (028)",564,,307,186,71,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",3363,25,1071,1363,802,102
"Agricult. trabaj. calif.agrop. y pesqueros (030)",954,,185,302,360,107
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",388,4,103,167,104,10
"Obreros construc., conf., papel, fab., instr. (032)",90,,41,32,16,1
