"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PATAZ (000)",72021,4211,10037,10645,7335,12075,10302,12900,4516
"Sin nivel (001)",16783,4211,2051,240,376,1131,1799,4256,2719
"Educación inicial (002)",2062,,1956,41,10,29,26,,
"Primaria (003)",33953,,6030,8300,2557,4875,4744,5859,1588
"Secundaria (004)",12860,,,2064,4147,3497,1767,1291,94
"Superior no univ. incompleto (005)",1599,,,,199,766,396,221,17
"Superior no univ. completo (006)",2583,,,,,1060,865,603,55
"Superior univ. incompleto (007)",574,,,,46,232,149,135,12
"Superior univ. completo (008)",1607,,,,,485,556,535,31
"Hombres (010)",38322,2153,5155,5423,3887,6861,5802,6916,2125
"Sin nivel (011)",6518,2153,1039,107,174,343,513,1294,895
"Educación inicial (012)",1012,,980,9,3,11,9,,
"Primaria (013)",18367,,3136,4186,1259,2442,2662,3596,1086
"Secundaria (014)",8090,,,1121,2312,2375,1259,953,70
"Superior no univ. incompleto (015)",1039,,,,109,469,288,163,10
"Superior no univ. completo (016)",1782,,,,,754,594,397,37
"Superior univ. incompleto (017)",395,,,,30,156,107,95,7
"Superior univ. completo (018)",1119,,,,,311,370,418,20
"Mujeres (020)",33699,2058,4882,5222,3448,5214,4500,5984,2391
"Sin nivel (021)",10265,2058,1012,133,202,788,1286,2962,1824
"Educación inicial (022)",1050,,976,32,7,18,17,,
"Primaria (023)",15586,,2894,4114,1298,2433,2082,2263,502
"Secundaria (024)",4770,,,943,1835,1122,508,338,24
"Superior no univ. incompleto (025)",560,,,,90,297,108,58,7
"Superior no univ. completo (026)",801,,,,,306,271,206,18
"Superior univ. incompleto (027)",179,,,,16,76,42,40,5
"Superior univ. completo (028)",488,,,,,174,186,117,11
,,,,,,,,,
"URBANA (030)",19080,915,2245,2584,2021,3699,3146,3461,1009
"Sin nivel (031)",2669,915,232,58,71,154,249,564,426
"Educación inicial (032)",581,,552,10,3,8,8,,
"Primaria (033)",7259,,1461,1734,405,914,959,1334,452
"Secundaria (034)",4876,,,782,1380,1258,769,638,49
"Superior no univ. incompleto (035)",951,,,,126,458,227,129,11
