"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YAULI (000)",46980,1993,5010,5419,4251,8677,8197,11337,2096
"Sabe leer y escribir (001)",42990,,4124,5386,4222,8622,8130,10922,1584
"No sabe leer y escribir (002)",3990,1993,886,33,29,55,67,415,512
"Hombres (004)",24943,1042,2588,2696,2141,4634,4450,6378,1014
"Sabe leer y escribir (005)",23315,,2160,2677,2126,4614,4437,6338,963
"No sabe leer y escribir (006)",1628,1042,428,19,15,20,13,40,51
"Mujeres (008)",22037,951,2422,2723,2110,4043,3747,4959,1082
"Sabe leer y escribir (009)",19675,,1964,2709,2096,4008,3693,4584,621
"No sabe leer y escribir (010)",2362,951,458,14,14,35,54,375,461
,,,,,,,,,
"URBANA (012)",41303,1755,4482,4912,3804,7479,7229,9933,1709
"Sabe leer y escribir (013)",38010,,3760,4887,3782,7442,7184,9642,1313
"No sabe leer y escribir (014)",3293,1755,722,25,22,37,45,291,396
"Hombres (016)",21633,927,2305,2440,1911,3875,3813,5537,825
"Sabe leer y escribir (017)",20254,,1954,2426,1898,3865,3804,5516,791
"No sabe leer y escribir (018)",1379,927,351,14,13,10,9,21,34
"Mujeres (020)",19670,828,2177,2472,1893,3604,3416,4396,884
"Sabe leer y escribir (021)",17756,,1806,2461,1884,3577,3380,4126,522
"No sabe leer y escribir (022)",1914,828,371,11,9,27,36,270,362
,,,,,,,,,
"RURAL (024)",5677,238,528,507,447,1198,968,1404,387
"Sabe leer y escribir (025)",4980,,364,499,440,1180,946,1280,271
"No sabe leer y escribir (026)",697,238,164,8,7,18,22,124,116
"Hombres (028)",3310,115,283,256,230,759,637,841,189
"Sabe leer y escribir (029)",3061,,206,251,228,749,633,822,172
"No sabe leer y escribir (030)",249,115,77,5,2,10,4,19,17
"Mujeres (032)",2367,123,245,251,217,439,331,563,198
"Sabe leer y escribir (033)",1919,,158,248,212,431,313,458,99
"No sabe leer y escribir (034)",448,123,87,3,5,8,18,105,99
