"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PACASMAYO (000)",23493,93464,21827,86805,1666,6659
"Casa independiente (001)",23035,91935,21379,85318,1656,6617
"Departamento en edificio (002)",82,278,82,278,,
"Vivienda en quinta (003)",243,785,243,785,,
"Vivienda en casa de vecindad (004)",77,312,77,312,,
"Choza o cabaña (005)",10,42,,,10,42
"Vivienda improvisada (006)",10,26,10,26,,
"Local no dest.para hab. humana (007)",35,85,35,85,,
"Otro tipo (008)",1,1,1,1,,
