"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SECHURA (000)",15117,14375,65,3070,2726,2298,3236,1801,859,320,742,51889
"De 12 a 14 años (001)",9,2,,2,,,,,,,7,2
"De 15 a 19 años (002)",544,490,7,424,56,2,1,,,,54,546
"De 20 a 24 años (003)",2157,1929,10,1142,615,126,35,1,,,228,2905
"De 25 a 29 años (004)",2311,2144,1,666,754,488,216,17,2,,167,4664
"De 30 a 34 años (005)",1985,1891,2,281,486,501,519,96,6,,94,5659
"De 35 a 39 años (006)",1823,1750,9,156,320,408,627,181,41,8,73,6369
"De 40 a 44 años (007)",1434,1402,7,109,158,283,525,237,70,13,32,5844
"De 45 a 49 años (008)",1222,1196,7,82,122,179,412,269,104,21,26,5521
"De 50 y más años (009)",3632,3571,22,208,215,311,901,1000,636,278,61,20379
"Conviviente (010)",5271,5154,16,1778,1385,843,698,288,116,30,117,13237
"De 12 a 14 años (011)",6,,,,,,,,,,6,
"De 15 a 19 años (012)",450,398,5,346,45,2,,,,,52,442
"De 20 a 24 años (013)",1456,1415,6,834,460,92,22,1,,,41,2129
"De 25 a 29 años (014)",1187,1173,,361,427,266,105,13,1,,14,2541
"De 30 a 34 años (015)",780,779,,119,224,220,178,36,2,,1,2244
"De 35 a 39 años (016)",567,565,2,56,136,128,178,47,14,4,2,1943
"De 40 a 44 años (017)",298,298,1,20,43,71,84,53,24,2,,1260
"De 45 a 49 años (018)",207,207,1,19,24,32,55,48,25,3,,951
"De 50 y más años (019)",320,319,1,23,26,32,76,90,50,21,1,1727
"Separado(a) (020)",884,872,5,338,198,112,129,65,17,8,12,2267
"De 15 a 19 años (022)",32,32,,30,2,,,,,,,34
"De 20 a 24 años (023)",103,99,1,78,18,2,,,,,4,120
