"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PISCO (000)",45715,26553,5335,5097,8730
"Agric., ganadería, caza y silvicultura (001)",10362,6940,1396,1003,1023
"Pesca (002)",1828,1239,404,90,95
"Explotación de minas y canteras (003)",303,34,20,23,226
"Industrias manufactureras (004)",5305,1418,447,813,2627
"Suministro de electricidad, gas y agua (005)",136,21,9,59,47
"Construcción (006)",3729,2205,687,402,435
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7459,6448,524,287,200
"Venta, mant.y rep. veh.autom y motoc. (008)",1122,743,164,100,115
"Comercio al por mayor (009)",481,272,55,69,85
"Comercio al por menor (010)",5856,5433,305,118,
"Hoteles y restaurantes (011)",1847,1465,244,80,58
"Trans., almac. y comunicaciones (012)",4439,3266,395,421,357
"Intermediación financiera (013)",183,23,26,99,35
"Activid.inmobil., empres. y alquileres (014)",2289,1013,343,427,506
"Admin.pub. y defensa; p. segur soc.afil (015)",1872,,,,1872
"Enseñanza (016)",2183,328,470,1033,352
"Servicios sociales y de salud (017)",773,177,43,55,498
"Otras activ. serv.comun.soc y personales (018)",1232,690,187,178,177
"Hogares privados con servicio doméstico (019)",661,661,,,
"Organiz. y organos extraterritoriales (020)",5,,3,2,
"Actividad economica no especificada (021)",1109,625,137,125,222
"Hombres (022)",32132,18482,3939,3354,6357
"Agric., ganadería, caza y silvicultura (023)",7874,5618,998,652,606
"Pesca (024)",1748,1202,395,75,76
"Explotación de minas y canteras (025)",295,31,20,22,222
"Industrias manufactureras (026)",3940,1126,359,578,1877
"Suministro de electricidad, gas y agua (027)",127,18,9,58,42
"Construcción (028)",3621,2161,667,374,419
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",3905,3147,361,219,178
"Venta, mant.y rep. veh.autom y motoc. (030)",1039,692,145,90,112
"Comercio al por mayor (031)",316,149,40,61,66
"Comercio al por menor (032)",2550,2306,176,68,
"Hoteles y restaurantes (033)",513,352,93,34,34
"Trans., almac. y comunicaciones (034)",4166,3065,371,386,344
"Intermediación financiera (035)",102,17,13,52,20
"Activid.inmobil., empres. y alquileres (036)",1860,802,284,348,426
"Admin.pub. y defensa; p. segur soc.afil (037)",1472,,,,1472
"Enseñanza (038)",684,59,135,334,156
"Servicios sociales y de salud (039)",282,74,15,20,173
