"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PASCO (000)",70421,61371,9050
"De 3 a 5 años (001)",8673,1024,7649
"De 6 a 11 años (002)",18635,17554,1081
"De 12 a 16 años (003)",17895,17790,105
"De 17 a 24 años (004)",25218,25003,215
"Hombres (005)",35728,31138,4590
"De 3 a 5 años (006)",4412,513,3899
"De 6 a 11 años (007)",9569,9011,558
"De 12 a 16 años (008)",9008,8956,52
"De 17 a 24 años (009)",12739,12658,81
"Mujeres (010)",34693,30233,4460
"De 3 a 5 años (011)",4261,511,3750
"De 6 a 11 años (012)",9066,8543,523
"De 12 a 16 años (013)",8887,8834,53
"De 17 a 24 años (014)",12479,12345,134
,,,
"URBANA (015)",53070,46509,6561
"De 3 a 5 años (016)",6539,860,5679
"De 6 a 11 años (017)",13967,13279,688
"De 12 a 16 años (018)",13512,13449,63
"De 17 a 24 años (019)",19052,18921,131
"Hombres (020)",26764,23400,3364
"De 3 a 5 años (021)",3357,427,2930
"De 6 a 11 años (022)",7134,6776,358
"De 12 a 16 años (023)",6796,6767,29
"De 17 a 24 años (024)",9477,9430,47
"Mujeres (025)",26306,23109,3197
"De 3 a 5 años (026)",3182,433,2749
"De 6 a 11 años (027)",6833,6503,330
"De 12 a 16 años (028)",6716,6682,34
"De 17 a 24 años (029)",9575,9491,84
,,,
"RURAL (030)",17351,14862,2489
"De 3 a 5 años (031)",2134,164,1970
"De 6 a 11 años (032)",4668,4275,393
"De 12 a 16 años (033)",4383,4341,42
"De 17 a 24 años (034)",6166,6082,84
"Hombres (035)",8964,7738,1226
"De 3 a 5 años (036)",1055,86,969
"De 6 a 11 años (037)",2435,2235,200
"De 12 a 16 años (038)",2212,2189,23
"De 17 a 24 años (039)",3262,3228,34
"Mujeres (040)",8387,7124,1263
"De 3 a 5 años (041)",1079,78,1001
"De 6 a 11 años (042)",2233,2040,193
"De 12 a 16 años (043)",2171,2152,19
"De 17 a 24 años (044)",2904,2854,50
