"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"De 20 a 24 años (123)",1,,,,,,,1
"De 25 a 29 años (124)",3,,,,,,,3
"De 30 a 34 años (125)",2,,,,,,1,1
"De 35 a 39 años (126)",3,,,,,,1,2
"Primaria (130)",3535,13,56,181,406,944,1144,791
"De 12 a 14 años (131)",7,,,,,,,7
"De 15 a 19 años (132)",97,,,,,,53,44
"De 20 a 24 años (133)",199,,,,,2,122,75
"De 25 a 29 años (134)",378,,,,,33,226,119
"De 30 a 34 años (135)",443,,,,,96,257,90
"De 35 a 39 años (136)",532,,,,6,195,231,100
"De 40 a 44 años (137)",478,,,,24,217,171,66
"De 45 a 49 años (138)",395,,,3,76,182,75,59
"De 50 y más años (139)",1006,13,56,178,300,219,9,231
"Secundaria (140)",5287,6,23,113,359,1082,2131,1573
"De 12 a 14 años (141)",19,,,,,,1,18
"De 15 a 19 años (142)",321,,,,,,171,150
"De 20 a 24 años (143)",924,,,,,2,512,410
"De 25 a 29 años (144)",911,,,,,66,531,314
"De 30 a 34 años (145)",809,,,,,183,419,207
"De 35 a 39 años (146)",765,,,,11,269,320,165
"De 40 a 44 años (147)",570,,,,65,250,139,116
"De 45 a 49 años (148)",400,,,3,94,199,31,73
"De 50 y más años (149)",568,6,23,110,189,113,7,120
"Sup. no Univ. incompleta (150)",576,,,5,17,91,231,232
"De 15 a 19 años (152)",13,,,,,,6,7
"De 20 a 24 años (153)",128,,,,,,53,75
"De 25 a 29 años (154)",140,,,,,5,74,61
"De 30 a 34 años (155)",106,,,,,20,47,39
"De 35 a 39 años (156)",81,,,,1,23,29,28
"De 40 a 44 años (157)",56,,,,3,25,20,8
"De 45 a 49 años (158)",23,,,,5,15,1,2
"De 50 y más años (159)",29,,,5,8,3,1,12
"Sup. no Univ. completa (160)",883,,4,14,39,156,356,314
"De 20 a 24 años (163)",98,,,,,,38,60
"De 25 a 29 años (164)",221,,,,,10,112,99
"De 30 a 34 años (165)",208,,,,,32,103,73
"De 35 a 39 años (166)",150,,,,2,36,78,34
"De 40 a 44 años (167)",85,,,,4,43,23,15
"De 45 a 49 años (168)",44,,,,9,21,2,12
"De 50 y más años (169)",77,,4,14,24,14,,21
"Sup. Univ. incompleta (170)",455,1,2,2,21,66,154,209
"De 15 a 19 años (172)",9,,,,,,3,6
"De 20 a 24 años (173)",109,,,,,1,23,85
"De 25 a 29 años (174)",104,,,,,2,45,57
"De 30 a 34 años (175)",67,,,,,10,35,22
"De 35 a 39 años (176)",57,,,,,16,27,14
"De 40 a 44 años (177)",45,,,,3,15,18,9
"De 45 a 49 años (178)",33,,,1,6,14,3,9
"De 50 y más años (179)",31,1,2,1,12,8,,7
"Sup. Univ. completa (180)",890,1,4,19,62,185,277,342
"De 20 a 24 años (183)",42,,,,,,13,29
"De 25 a 29 años (184)",166,,,,,10,57,99
"De 30 a 34 años (185)",184,,,,,20,93,71
"De 35 a 39 años (186)",177,,,,,37,76,64
"De 40 a 44 años (187)",117,,,,8,50,31,28
"De 45 a 49 años (188)",82,,,,19,39,6,18
"De 50 y más años (189)",122,1,4,19,35,29,1,33
,,,,,,,,
"RURAL (200)",28239,64,387,1198,2728,5511,11594,6757
"De 12 a 14 años (201)",73,,,,,,11,62
"De 15 a 19 años (202)",1348,,,,,,779,569
"De 20 a 24 años (203)",3670,,,,,11,2325,1334
"De 25 a 29 años (204)",3907,,,,,192,2648,1067
"De 30 a 34 años (205)",3373,,,,2,508,2203,660
"De 35 a 39 años (206)",3358,,,,25,957,1869,507
"De 40 a 44 años (207)",2949,,,,140,1242,1134,433
"De 45 a 49 años (208)",2530,,,9,389,1230,549,353
"De 50 y más años (209)",7031,64,387,1189,2172,1371,76,1772
"Sin nivel (210)",7600,53,306,812,1320,1438,1651,2020
"De 12 a 14 años (211)",3,,,,,,1,2
"De 15 a 19 años (212)",81,,,,,,43,38
"De 20 a 24 años (213)",216,,,,,1,129,86
"De 25 a 29 años (214)",342,,,,,9,240,93
"De 30 a 34 años (215)",457,,,,1,41,308,107
"De 35 a 39 años (216)",631,,,,6,140,358,127
"De 40 a 44 años (217)",754,,,,27,281,313,133
"De 45 a 49 años (218)",813,,,3,94,349,221,146
"De 50 y más años (219)",4303,53,306,809,1192,617,38,1288
"Educacion Inicial (220)",43,,,,,3,24,16
"De 15 a 19 años (222)",3,,,,,,,3
"De 20 a 24 años (223)",10,,,,,1,5,4
"De 25 a 29 años (224)",13,,,,,,7,6
"De 30 a 34 años (225)",7,,,,,1,5,1
"De 35 a 39 años (226)",10,,,,,1,7,2
"Primaria (230)",11851,10,66,307,1077,2780,5419,2192
"De 12 a 14 años (231)",42,,,,,,7,35
"De 15 a 19 años (232)",569,,,,,,339,230
"De 20 a 24 años (233)",1398,,,,,4,946,448
"De 25 a 29 años (234)",1648,,,,,76,1210,362
"De 30 a 34 años (235)",1547,,,,,251,1057,239
"De 35 a 39 años (236)",1670,,,,13,515,960,182
"De 40 a 44 años (237)",1539,,,,74,670,620,175
"De 45 a 49 años (238)",1230,,,3,203,643,250,131
"De 50 y más años (239)",2208,10,66,304,787,621,30,390
"Secundaria (240)",7557,1,14,70,287,1115,4028,2042
"De 12 a 14 años (241)",28,,,,,,3,25
"De 15 a 19 años (242)",686,,,,,,395,291
"De 20 a 24 años (243)",1858,,,,,5,1168,685
"De 25 a 29 años (244)",1629,,,,,95,1076,458
"De 30 a 34 años (245)",1091,,,,,191,693,207
"De 35 a 39 años (246)",844,,,,6,262,444,132
"De 40 a 44 años (247)",557,,,,34,250,173,100
"De 45 a 49 años (248)",416,,,3,81,200,69,63
"De 50 y más años (249)",448,1,14,67,166,112,7,81
"Sup. no Univ. incompleta (250)",347,,,3,7,38,171,128
"De 15 a 19 años (252)",4,,,,,,,4
"De 20 a 24 años (253)",81,,,,,,41,40
"De 25 a 29 años (254)",95,,,,,3,52,40
"De 30 a 34 años (255)",71,,,,1,5,45,20
"De 35 a 39 años (256)",51,,,,,13,26,12
"De 40 a 44 años (257)",16,,,,,5,5,6
"De 45 a 49 años (258)",16,,,,3,6,2,5
"De 50 y más años (259)",13,,,3,3,6,,1
"Sup. no Univ. completa (260)",429,,1,1,16,67,165,179
"De 20 a 24 años (263)",66,,,,,,27,39
"De 25 a 29 años (264)",107,,,,,9,39,59
"De 30 a 34 años (265)",102,,,,,11,46,45
"De 35 a 39 años (266)",68,,,,,12,36,20
"De 40 a 44 años (267)",41,,,,2,17,12,10
"De 45 a 49 años (268)",23,,,,6,10,4,3
"De 50 y más años (269)",22,,1,1,8,8,1,3
"Sup. Univ. incompleta (270)",120,,,1,7,15,44,53
"De 15 a 19 años (272)",5,,,,,,2,3
"De 20 a 24 años (273)",21,,,,,,4,17
"De 25 a 29 años (274)",19,,,,,,6,13
"De 30 a 34 años (275)",23,,,,,1,13,9
"De 35 a 39 años (276)",23,,,,,5,13,5
"De 40 a 44 años (277)",9,,,,1,4,3,1
"De 45 a 49 años (278)",8,,,,1,2,3,2
"De 50 y más años (279)",12,,,1,5,3,,3
"Sup. Univ. completa (280)",292,,,4,14,55,92,127
"De 20 a 24 años (283)",20,,,,,,5,15
"De 25 a 29 años (284)",54,,,,,,18,36
"De 30 a 34 años (285)",75,,,,,7,36,32
"De 35 a 39 años (286)",61,,,,,9,25,27
"De 40 a 44 años (287)",33,,,,2,15,8,8
"De 45 a 49 años (288)",24,,,,1,20,,3
"De 50 y más años (289)",25,,,4,11,4,,6
