"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YUNGUYO (000)",45237,1766,4917,5441,4581,6786,6001,11054,4691
"Sabe leer y escribir (001)",36137,,3954,5412,4557,6670,5734,8032,1778
"No sabe leer y escribir (002)",9100,1766,963,29,24,116,267,3022,2913
"Hombres (004)",22259,874,2467,2749,2317,3379,2832,5395,2246
"Sabe leer y escribir (005)",19565,,2013,2732,2306,3348,2795,4950,1421
"No sabe leer y escribir (006)",2694,874,454,17,11,31,37,445,825
"Mujeres (008)",22978,892,2450,2692,2264,3407,3169,5659,2445
"Sabe leer y escribir (009)",16572,,1941,2680,2251,3322,2939,3082,357
"No sabe leer y escribir (010)",6406,892,509,12,13,85,230,2577,2088
,,,,,,,,,
"URBANA (012)",16533,646,1845,1965,1706,2767,2524,3933,1147
"Sabe leer y escribir (013)",14314,,1526,1950,1700,2735,2456,3321,626
"No sabe leer y escribir (014)",2219,646,319,15,6,32,68,612,521
"Hombres (016)",8115,324,944,969,828,1350,1189,1980,531
"Sabe leer y escribir (017)",7414,,793,959,824,1346,1180,1890,422
"No sabe leer y escribir (018)",701,324,151,10,4,4,9,90,109
"Mujeres (020)",8418,322,901,996,878,1417,1335,1953,616
"Sabe leer y escribir (021)",6900,,733,991,876,1389,1276,1431,204
"No sabe leer y escribir (022)",1518,322,168,5,2,28,59,522,412
,,,,,,,,,
"RURAL (024)",28704,1120,3072,3476,2875,4019,3477,7121,3544
"Sabe leer y escribir (025)",21823,,2428,3462,2857,3935,3278,4711,1152
"No sabe leer y escribir (026)",6881,1120,644,14,18,84,199,2410,2392
"Hombres (028)",14144,550,1523,1780,1489,2029,1643,3415,1715
"Sabe leer y escribir (029)",12151,,1220,1773,1482,2002,1615,3060,999
"No sabe leer y escribir (030)",1993,550,303,7,7,27,28,355,716
"Mujeres (032)",14560,570,1549,1696,1386,1990,1834,3706,1829
"Sabe leer y escribir (033)",9672,,1208,1689,1375,1933,1663,1651,153
"No sabe leer y escribir (034)",4888,570,341,7,11,57,171,2055,1676
