"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",13590,13099,57,3080,2922,2133,2710,1460,572,165,491,43161
"De 12 a 14 años (001)",11,6,,5,1,,,,,,5,7
"De 15 a 19 años (002)",346,313,5,277,28,3,,,,,33,342
"De 20 a 24 años (003)",1332,1195,10,815,299,56,12,3,,,137,1650
"De 25 a 29 años (004)",1595,1496,3,672,502,224,90,4,1,,99,2767
"De 30 a 34 años (005)",1664,1604,6,432,552,353,239,18,3,1,60,3770
"De 35 a 39 años (006)",1674,1630,2,263,507,384,363,91,15,5,44,4760
"De 40 a 44 años (007)",1508,1479,1,162,334,323,430,171,50,8,29,5278
"De 45 a 49 años (008)",1171,1157,3,113,240,216,332,189,48,16,14,4488
"De 50 y más años (009)",4289,4219,27,341,459,574,1244,984,455,135,70,20099
"Sin nivel (010)",1697,1636,13,142,183,214,498,358,174,54,61,7692
"De 15 a 19 años (012)",9,8,,5,3,,,,,,1,11
"De 20 a 24 años (013)",21,14,1,7,4,2,,,,,7,21
"De 25 a 29 años (014)",41,39,,8,7,14,10,,,,2,105
"De 30 a 34 años (015)",59,58,1,10,11,14,20,1,,1,1,178
"De 35 a 39 años (016)",88,81,,10,12,10,34,12,2,1,7,315
"De 40 a 44 años (017)",91,86,,7,7,12,23,24,11,2,5,428
"De 45 a 49 años (018)",119,112,,7,19,11,29,33,5,8,7,540
"De 50 y más años (019)",1269,1238,11,88,120,151,382,288,156,42,31,6094
"Educacion Inicial (020)",15,14,,4,3,5,2,,,,1,33
"De 20 a 24 años (023)",1,1,,1,,,,,,,,1
"De 25 a 29 años (024)",4,3,,1,,1,1,,,,1,8
"De 30 a 34 años (025)",7,7,,2,1,3,1,,,,,17
