"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia RIOJA (000)",25466,77,265,833,2096,5355,10488,6352
"De 12 a 14 años (001)",79,,,,,,8,71
"De 15 a 19 años (002)",1305,,,,,,782,523
"De 20 a 24 años (003)",3471,,,,,21,2180,1270
"De 25 a 29 años (004)",3855,,,,,263,2535,1057
"De 30 a 34 años (005)",3614,,,,3,712,2136,763
"De 35 a 39 años (006)",3326,,,,35,1093,1584,614
"De 40 a 44 años (007)",2572,,,,159,1149,835,429
"De 45 a 49 años (008)",1954,,,10,307,972,370,295
"De 50 y más años (009)",5290,77,265,823,1592,1145,58,1330
"Conviviente (010)",11030,3,35,103,445,1848,5891,2705
"De 12 a 14 años (011)",48,,,,,,4,44
"De 15 a 19 años (012)",940,,,,,,565,375
"De 20 a 24 años (013)",2145,,,,,9,1463,673
"De 25 a 29 años (014)",2214,,,,,143,1551,520
"De 30 a 34 años (015)",1769,,,,1,322,1111,335
"De 35 a 39 años (016)",1399,,,,10,420,711,258
"De 40 a 44 años (017)",975,,,,55,416,348,156
"De 45 a 49 años (018)",594,,,,82,284,122,106
"De 50 y más años (019)",946,3,35,103,297,254,16,238
"Separado(a) (020)",1520,5,9,48,162,380,482,434
"De 12 a 14 años (021)",3,,,,,,2,1
"De 15 a 19 años (022)",88,,,,,,51,37
"De 20 a 24 años (023)",202,,,,,4,127,71
"De 25 a 29 años (024)",174,,,,,18,90,66
"De 30 a 34 años (025)",167,,,,,48,72,47
"De 35 a 39 años (026)",196,,,,3,78,76,39
"De 40 a 44 años (027)",186,,,,14,81,43,48
"De 45 a 49 años (028)",136,,,2,29,67,18,20
"De 50 y más años (029)",368,5,9,46,116,84,3,105
"Casado(a) (030)",9533,13,69,414,1124,2678,3494,1741
"De 12 a 14 años (031)",9,,,,,,1,8
"De 15 a 19 años (032)",119,,,,,,66,53
"De 20 a 24 años (033)",580,,,,,6,410,164
"De 25 a 29 años (034)",1039,,,,,71,762,206
"De 30 a 34 años (035)",1376,,,,2,278,870,226
"De 35 a 39 años (036)",1471,,,,16,501,723,231
"De 40 a 44 años (037)",1191,,,,61,571,410,149
"De 45 a 49 años (038)",1065,,,3,160,552,216,134
"De 50 y más años (039)",2683,13,69,411,885,699,36,570
"Viudo(a) (040)",1427,52,140,239,277,213,97,409
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",8,,,,,,2,6
"De 20 a 24 años (043)",22,,,,,,14,8
"De 25 a 29 años (044)",16,,,,,3,9,4
"De 30 a 34 años (045)",39,,,,,13,20,6
"De 35 a 39 años (046)",67,,,,,35,25,7
"De 40 a 44 años (047)",89,,,,10,35,17,27
