"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia REQUENA (000)",20286,66784,59716,,1945,89.4,2.9
"De 12 a 14 años (001)",2656,40,40,,6,100,15
"De 15 a 19 años (002)",3476,1484,1432,382,96.5,25.7,
"De 20 a 24 años (003)",2627,4179,4016,490,96.1,11.7,
"De 25 a 29 años (004)",2233,5849,5624,421,96.2,7.2,
"De 30 a 34 años (005)",1891,6930,6551,341,94.5,4.9,
"De 35 a 39 años (006)",1772,8561,7965,209,93,2.4,
"De 40 a 44 años (007)",1365,7806,7141,74,91.5,0.9,
"De 45 a 49 años (008)",1135,7580,6685,22,88.2,0.3,
"De 50 y más años (009)",3131,24355,20262,,83.2,,
"PEA (010)",6495,26568,23932,552,90.1,2.1,
"De 12 a 14 años (011)",161,6,6,,100,,
"De 15 a 19 años (012)",649,341,327,75,95.9,22,
"De 20 a 24 años (013)",775,1202,1160,123,96.5,10.2,
"De 25 a 29 años (014)",831,1948,1891,125,97.1,6.4,
"De 30 a 34 años (015)",786,2643,2494,124,94.4,4.7,
"De 35 a 39 años (016)",792,3525,3312,72,94,2,
"De 40 a 44 años (017)",674,3641,3346,28,91.9,0.8,
"De 45 a 49 años (018)",563,3600,3185,5,88.5,0.1,
"De 50 y más años (019)",1264,9662,8211,,85,,
"Ocupada (020)",6273,26028,23430,526,90,2,
"De 12 a 14 años (021)",141,6,6,,100,,
"De 15 a 19 años (022)",592,313,300,69,95.8,22,
"De 20 a 24 años (023)",732,1156,1116,118,96.5,10.2,
"De 25 a 29 años (024)",800,1870,1813,116,97,6.2,
"De 30 a 34 años (025)",764,2564,2419,120,94.3,4.7,
"De 35 a 39 años (026)",777,3450,3240,71,93.9,2.1,
"De 40 a 44 años (027)",662,3570,3282,27,91.9,0.8,
"De 45 a 49 años (028)",551,3524,3110,5,88.3,0.1,
"De 50 y más años (029)",1254,9575,8144,,85.1,,
"Desocupada (030)",222,540,502,26,93,4.8,
"De 12 a 14 años (031)",20,,,,,,
"De 15 a 19 años (032)",57,28,27,6,96.4,21.4,
"De 20 a 24 años (033)",43,46,44,5,95.7,10.9,
"De 25 a 29 años (034)",31,78,78,9,100,11.5,
"De 30 a 34 años (035)",22,79,75,4,94.9,5.1,
"De 35 a 39 años (036)",15,75,72,1,96,1.3,
