"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Hogares privados con servicio doméstico (087)",1407,,,,,,1407,
"Organiz. y organos extraterritoriales (088)",2,2,,,,,,
"Actividad economica no especificada (089)",1990,991,316,497,47,139,,
"Desocupado (090)",3037,,,,,,,3037
"Hombres (091)",34862,11546,6110,13547,718,1045,58,1838
"Agric., ganadería, caza y silvicultura (092)",3459,112,704,2122,105,416,,
"Pesca (093)",6,4,1,1,,,,
"Explotación de minas y canteras (094)",171,68,85,11,7,,,
"Industrias manufactureras (095)",3530,96,1110,2109,114,101,,
"Suministro de electricidad, gas y agua (096)",117,60,47,10,,,,
"Construcción (097)",4080,343,2879,759,60,39,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",5539,997,270,3816,183,273,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",1177,90,166,830,59,32,,
"Comercio al por mayor (100)",399,149,43,185,10,12,,
"Comercio al por menor (101)",3963,758,61,2801,114,229,,
"Hoteles y restaurantes (102)",1054,538,66,353,56,41,,
"Trans., almac. y comunicaciones (103)",4459,1142,428,2739,66,84,,
"Intermediación financiera (104)",228,215,4,5,4,,,
"Activid.inmobil., empres. y alquileres (105)",2213,1422,64,660,58,9,,
"Admin.pub. y defensa; p. segur.soc.afil (106)",2197,2038,159,,,,,
"Enseñanza (107)",3009,2802,4,188,6,9,,
"Servicios sociales y de salud (108)",728,596,5,110,14,3,,
"Otras activ. serv.comun.soc y personales (109)",1065,596,26,402,21,20,,
"Hogares privados con servicio doméstico (110)",58,,,,,,58,
"Organiz. y organos extraterritoriales (111)",1,1,,,,,,
"Actividad economica no especificada (112)",1110,516,258,262,24,50,,
"Desocupado (113)",1838,,,,,,,1838
"Mujeres (114)",25471,9409,1111,10293,349,1761,1349,1199
"Agric., ganadería, caza y silvicultura (115)",1419,27,329,596,26,441,,
"Pesca (116)",2,1,,1,,,,
"Explotación de minas y canteras (117)",9,4,1,4,,,,
"Industrias manufactureras (118)",1238,59,266,793,36,84,,
"Suministro de electricidad, gas y agua (119)",24,17,6,1,,,,
"Construcción (120)",170,33,110,21,4,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (121)",8249,1126,19,5986,144,974,,
"Venta, mant.y rep. veh.autom.y motoc. (122)",137,53,7,53,4,20,,
"Comercio al por mayor (123)",327,105,6,169,5,42,,
"Comercio al por menor (124)",7785,968,6,5764,135,912,,
"Hoteles y restaurantes (125)",2475,694,42,1584,60,95,,
"Trans., almac. y comunicaciones (126)",398,253,23,100,6,16,,
"Intermediación financiera (127)",169,160,1,7,,1,,
"Activid.inmobil., empres. y alquileres (128)",924,719,13,158,18,16,,
"Admin.pub. y defensa; p. segur.soc.afil (129)",1004,799,205,,,,,
"Enseñanza (130)",3540,3271,,258,5,6,,
"Servicios sociales y de salud (131)",1382,1287,7,72,10,6,,
"Otras activ. serv.comun.soc y personales (132)",1039,483,31,477,17,31,,
"Hogares privados con servicio doméstico (133)",1349,,,,,,1349,
"Organiz. y organos extraterritoriales (134)",1,1,,,,,,
"Actividad economica no especificada (135)",880,475,58,235,23,89,,
,,,,,,,,
"RURAL (136)",13933,467,2404,7590,180,2460,75,757
"Agric., ganadería, caza y silvicultura (137)",10150,5,1520,6220,146,2259,,
"Pesca (138)",5,1,2,2,,,,
"Explotación de minas y canteras (139)",27,,21,6,,,,
"Industrias manufactureras (140)",273,5,120,112,3,33,,
"Suministro de electricidad, gas y agua (141)",5,1,2,2,,,,
"Construcción (142)",518,3,415,72,6,22,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (143)",525,53,6,408,5,53,,
"Venta, mant.y rep. veh.autom.y motoc. (144)",33,10,4,17,,2,,
"Comercio al por mayor (145)",23,1,1,20,,1,,
"Comercio al por menor (146)",469,42,1,371,5,50,,
"Hoteles y restaurantes (147)",148,36,4,97,1,10,,
"Trans., almac. y comunicaciones (148)",252,50,59,130,10,3,,
"Intermediación financiera (149)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (150)",41,30,2,8,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (151)",104,43,61,,,,,
"Enseñanza (152)",200,106,1,91,1,1,,
"Servicios sociales y de salud (153)",59,45,6,7,,1,,
"Otras activ. serv.comun.soc y personales (154)",71,31,6,33,,1,,
"Hogares privados con servicio doméstico (155)",75,,,,,,75,
"Actividad economica no especificada (157)",722,57,179,402,8,76,,
"Desocupado (158)",757,,,,,,,757
"Hombres (159)",10514,290,1978,6182,163,1242,3,656
"Agric., ganadería, caza y silvicultura (160)",7995,5,1189,5511,136,1154,,
"Pesca (161)",5,1,2,2,,,,
"Explotación de minas y canteras (162)",27,,21,6,,,,
"Industrias manufactureras (163)",227,3,104,89,3,28,,
"Suministro de electricidad, gas y agua (164)",4,1,2,1,,,,
"Construcción (165)",492,3,392,70,6,21,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (166)",191,26,4,147,3,11,,
"Venta, mant.y rep. veh.autom.y motoc. (167)",25,5,3,16,,1,,
"Comercio al por mayor (168)",11,1,,10,,,,
"Comercio al por menor (169)",155,20,1,121,3,10,,
"Hoteles y restaurantes (170)",24,12,1,10,,1,,
"Trans., almac. y comunicaciones (171)",248,48,58,129,10,3,,
"Intermediación financiera (172)",1,1,,,,,,
"Activid.inmobil., empres. y alquileres (173)",37,26,2,8,,1,,
"Admin.pub. y defensa; p. segur.soc.afil (174)",84,35,49,,,,,
"Enseñanza (175)",116,70,1,44,,1,,
"Servicios sociales y de salud (176)",25,16,3,6,,,,
"Otras activ. serv.comun.soc y personales (177)",35,11,6,17,,1,,
"Hogares privados con servicio doméstico (178)",3,,,,,,3,
"Actividad economica no especificada (180)",344,32,144,142,5,21,,
"Desocupado (181)",656,,,,,,,656
"Mujeres (182)",3419,177,426,1408,17,1218,72,101
"Agric., ganadería, caza y silvicultura (183)",2155,,331,709,10,1105,,
"Industrias manufactureras (186)",46,2,16,23,,5,,
"Suministro de electricidad, gas y agua (187)",1,,,1,,,,
"Construcción (188)",26,,23,2,,1,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (189)",334,27,2,261,2,42,,
"Venta, mant.y rep. veh.autom.y motoc. (190)",8,5,1,1,,1,,
"Comercio al por mayor (191)",12,,1,10,,1,,
"Comercio al por menor (192)",314,22,,250,2,40,,
"Hoteles y restaurantes (193)",124,24,3,87,1,9,,
"Trans., almac. y comunicaciones (194)",4,2,1,1,,,,
"Activid.inmobil., empres. y alquileres (196)",4,4,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (197)",20,8,12,,,,,
"Enseñanza (198)",84,36,,47,1,,,
"Servicios sociales y de salud (199)",34,29,3,1,,1,,
"Otras activ. serv.comun.soc y personales (200)",36,20,,16,,,,
"Hogares privados con servicio doméstico (201)",72,,,,,,72,
"Actividad economica no especificada (203)",378,25,35,260,3,55,,
